frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_torso_arm_angle_deg,right_torso_arm_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,128.91,,128.91,,19.53,,0,1,0,0,0,0,0,0,0,,
2,0.067,0,0,transition,unknown,130.54,,129.73,,18.27,,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,transition,unknown,129.84,,129.77,,19.55,,0,1,0,0,0,0,0,0,0,,
4,0.133,0,0,transition,unknown,129.5,,129.7,,19.38,,0,1,0,0,0,0,0,0,0,,
5,0.166,0,0,transition,unknown,129.52,,129.66,,19.24,,0,1,0,0,0,0,0,0,0,,
6,0.2,0,0,transition,unknown,130.43,,129.79,,19.03,,0,1,0,0,0,0,0,0,0,,
7,0.233,0,0,transition,unknown,130.91,,129.95,,19.07,,0,1,0,0,0,0,0,0,0,,
8,0.266,0,0,transition,unknown,130.66,,130.04,,19.16,,0,1,0,0,0,0,0,0,0,,
9,0.3,0,0,transition,unknown,130.46,,130.09,,19.26,,0,1,0,0,0,0,0,0,0,,
10,0.333,0,0,transition,unknown,131.0,,130.18,,19.25,,0,1,0,0,0,0,0,0,0,,
11,0.366,0,0,transition,unknown,131.13,,130.26,,18.26,,0,1,0,0,0,0,0,0,0,,
12,0.399,0,0,transition,unknown,130.3,,130.27,,18.8,,0,1,0,0,0,0,0,0,0,,
13,0.433,0,0,transition,unknown,129.4,,130.31,,17.58,,1,1,0,0,0,0,0,0,0,,
14,0.466,0,0,transition,unknown,130.58,,130.31,,17.39,,1,1,0,0,0,0,0,0,0,,
15,0.499,0,0,transition,unknown,130.02,,130.33,,17.33,,1,1,0,0,0,0,0,0,0,,
16,0.533,0,0,transition,unknown,128.34,,130.23,,15.65,,1,1,0,0,0,0,0,0,0,,
17,0.566,0,0,transition,unknown,127.07,,130.03,,13.8,,1,1,0,0,0,0,0,0,0,,
18,0.599,0,0,transition,unknown,126.96,,129.74,,9.99,,1,1,0,0,0,0,0,0,0,,
19,0.632,0,0,transition,unknown,120.41,,128.86,,7.47,,1,1,0,0,0,0,0,0,0,,
20,0.666,0,0,transition,unknown,114.57,,127.52,,5.13,,1,1,0,0,0,0,0,0,0,,
21,0.699,0,0,transition,unknown,115.29,,126.26,,4.95,,1,1,0,0,0,0,0,0,0,,
22,0.732,0,0,transition,unknown,107.52,,124.3,,2.83,,1,1,0,0,0,0,0,0,0,,
23,0.766,0,0,transition,unknown,95.0,,121.29,,1.11,,1,1,0,0,0,0,0,0,0,,
24,0.799,0,0,transition,unknown,88.12,,117.77,,3.28,,1,1,0,0,0,0,0,0,0,,
25,0.832,0,0,transition,unknown,87.15,,114.25,,6.44,,1,1,0,0,0,0,0,0,0,,
26,0.865,0,0,transition,unknown,82.39,,110.24,,10.9,,0,1,0,0,0,0,0,0,0,,
27,0.899,0,0,transition,unknown,83.21,,106.34,,11.1,,0,1,0,0,0,0,0,0,0,,
28,0.932,0,0,transition,unknown,75.05,,101.9,,13.22,,0,1,0,0,0,0,0,0,0,,
29,0.965,0,0,transition,unknown,71.68,,97.28,,18.4,,0,1,0,0,0,0,0,0,0,,
30,0.999,0,0,transition,unknown,65.78,,92.18,,20.79,,0,1,0,0,0,0,0,0,0,,
31,1.032,0,0,transition,unknown,62.61,,87.36,,21.88,,0,1,0,0,0,0,0,0,0,,
32,1.065,0,0,transition,unknown,61.7,,82.96,,23.68,,0,1,0,0,0,0,0,0,0,,
33,1.098,0,0,transition,unknown,61.31,,78.46,,24.02,,0,1,0,0,0,0,0,0,0,,
34,1.132,0,0,transition,unknown,58.31,,74.36,,23.89,,0,1,0,0,0,0,0,0,0,,
35,1.165,0,0,transition,unknown,54.97,,71.02,,26.17,,0,1,0,0,0,0,0,0,0,,
36,1.198,0,0,transition,unknown,53.77,,68.16,,26.02,,0,1,0,0,0,0,0,0,0,,
37,1.232,0,0,transition,unknown,54.03,,65.4,,27.34,,0,1,0,0,0,0,0,0,0,,
38,1.265,0,0,transition,unknown,52.81,,62.93,,27.39,,0,1,0,0,0,0,0,0,0,,
39,1.298,0,0,transition,unknown,52.33,,60.36,,27.35,,0,1,0,0,0,0,0,0,0,,
40,1.331,0,0,transition,unknown,51.62,,58.41,,27.85,,0,1,0,0,0,0,0,0,0,,
41,1.365,0,0,transition,unknown,51.83,,56.75,,27.44,,0,1,0,0,0,0,0,0,0,,
42,1.398,0,0,transition,unknown,50.8,,55.51,,25.85,,0,1,0,0,0,0,0,0,0,,
43,1.431,0,0,transition,unknown,50.78,,54.52,,25.88,,0,1,0,0,0,0,0,0,0,,
44,1.465,0,0,transition,unknown,51.77,,53.69,,26.41,,0,1,0,0,0,0,0,0,0,,
45,1.498,0,0,transition,unknown,51.29,,52.86,,26.08,,0,1,0,0,0,0,0,0,0,,
46,1.531,0,0,transition,unknown,54.15,,52.51,,26.67,,0,1,0,0,0,0,0,0,0,,
47,1.564,0,0,transition,unknown,55.21,,52.53,,23.73,,0,1,0,0,0,0,0,0,0,,
48,1.598,0,0,transition,unknown,55.54,,52.68,,21.86,,0,1,0,0,0,0,0,0,0,,
49,1.631,0,0,transition,unknown,57.27,,52.95,,20.52,,0,1,0,0,0,0,0,0,0,,
50,1.664,0,0,transition,unknown,61.12,,53.64,,18.79,,0,1,0,0,0,0,0,0,0,,
51,1.698,0,0,transition,unknown,61.68,,54.42,,19.22,,0,1,0,0,0,0,0,0,0,,
52,1.731,0,0,transition,unknown,64.75,,55.52,,18.67,,0,1,0,0,0,0,0,0,0,,
53,1.764,0,0,transition,unknown,66.66,,56.75,,15.06,,0,1,0,0,0,0,0,0,0,,
54,1.798,0,0,transition,unknown,69.45,,58.31,,10.85,,0,1,0,0,0,0,0,0,0,,
55,1.831,0,0,transition,unknown,74.74,,60.3,,9.52,,0,1,0,0,0,0,0,0,0,,
56,1.864,0,0,transition,unknown,77.31,,62.43,,8.35,,0,1,0,0,0,0,0,0,0,,
57,1.897,0,0,transition,unknown,77.13,,64.58,,8.61,,0,1,0,0,0,0,0,0,0,,
58,1.931,0,0,transition,unknown,83.33,,67.02,,5.44,,1,1,0,0,0,0,0,0,0,,
59,1.964,0,0,transition,unknown,84.27,,69.44,,1.93,,1,1,0,0,0,0,0,0,0,,
60,1.997,0,0,transition,unknown,84.9,,71.88,,1.59,,1,1,0,0,0,0,0,0,0,,
61,2.031,0,0,transition,unknown,84.92,,74.19,,0.51,,1,1,0,0,0,0,0,0,0,,
62,2.064,0,0,transition,unknown,86.56,,76.31,,1.38,,1,1,0,0,0,0,0,0,0,,
