frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_torso_arm_angle_deg,right_torso_arm_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.042,0,0,unknown,unknown,162.03,,162.03,,3.51,,1,1,0,0,0,0,0,0,0,,
2,0.083,0,0,unknown,unknown,161.97,,162.0,,2.86,,1,1,0,0,0,0,0,0,0,,
3,0.125,0,0,unknown,unknown,143.92,,155.97,,7.82,,0,1,0,0,0,0,0,0,0,,
4,0.167,0,0,transition,unknown,138.7,,151.66,,6.21,,0,1,0,0,0,0,0,0,0,,
5,0.209,0,0,transition,unknown,139.48,,149.22,,2.46,,1,1,0,0,0,0,0,0,0,,
6,0.25,0,0,transition,unknown,139.89,,147.66,,1.94,,1,1,0,0,0,0,0,0,0,,
7,0.292,0,0,transition,unknown,141.65,,146.81,,0.52,,1,1,0,0,0,0,0,0,0,,
8,0.334,0,0,transition,unknown,141.53,,146.15,,0.96,,1,1,0,0,0,0,0,0,0,,
9,0.375,0,0,transition,unknown,141.27,,145.6,,0.51,,1,1,0,0,0,0,0,0,0,,
10,0.417,0,0,transition,unknown,140.05,,145.05,,1.13,,1,1,0,0,0,0,0,0,0,,
11,0.459,0,0,transition,unknown,140.15,,144.6,,2.92,,1,1,0,0,0,0,0,0,0,,
12,0.5,0,0,transition,unknown,137.07,,143.98,,5.05,,1,1,0,0,0,0,0,0,0,,
13,0.542,0,0,transition,unknown,135.47,,141.76,,6.58,,1,1,0,0,0,0,0,0,0,,
14,0.584,0,0,transition,unknown,137.04,,139.68,,9.4,,1,1,0,0,0,0,0,0,0,,
15,0.626,0,0,transition,unknown,129.7,,138.5,,9.42,,1,1,0,0,0,0,0,0,0,,
16,0.667,0,0,transition,unknown,129.9,,137.77,,12.33,,1,1,0,0,0,0,0,0,0,,
17,0.709,0,0,transition,unknown,126.4,,136.68,,13.88,,1,1,0,0,0,0,0,0,0,,
18,0.751,0,0,transition,unknown,123.86,,135.34,,14.21,,1,1,0,0,0,0,0,0,0,,
19,0.792,0,0,transition,unknown,119.27,,133.48,,16.1,,0,1,0,0,0,0,0,0,0,,
20,0.834,0,0,transition,unknown,117.33,,131.46,,21.16,,0,1,0,0,0,0,0,0,0,,
21,0.876,0,0,transition,unknown,113.49,,129.14,,23.57,,0,1,0,0,0,0,0,0,0,,
22,0.918,0,0,transition,unknown,108.87,,126.54,,24.19,,0,1,0,0,0,0,0,0,0,,
23,0.959,0,0,transition,unknown,103.01,,123.45,,26.11,,0,1,0,0,0,0,0,0,0,,
24,1.001,0,0,transition,unknown,97.24,,120.13,,27.14,,0,1,0,0,0,0,0,0,0,,
25,1.043,0,0,transition,unknown,91.88,,116.5,,28.53,,0,1,0,0,0,0,0,0,0,,
26,1.084,0,0,transition,unknown,85.89,,112.24,,32.25,,0,1,0,0,0,0,0,0,0,,
27,1.126,0,0,transition,unknown,82.91,,108.34,,32.31,,0,1,0,0,0,0,0,0,0,,
28,1.168,0,0,transition,unknown,79.52,,104.14,,34.64,,0,1,0,0,0,0,0,0,0,,
29,1.21,0,0,transition,unknown,75.95,,99.93,,34.72,,0,1,0,0,0,0,0,0,0,,
30,1.251,0,0,transition,unknown,73.66,,95.75,,35.41,,0,1,0,0,0,0,0,0,0,,
31,1.293,0,0,transition,unknown,71.41,,91.76,,39.86,,0,1,0,0,0,0,0,0,0,,
32,1.335,0,0,transition,unknown,65.52,,87.45,,41.62,,0,1,0,0,0,0,0,0,0,,
33,1.376,0,0,transition,unknown,60.17,,83.0,,43.69,,0,1,0,0,0,0,0,0,0,,
34,1.418,0,0,transition,unknown,57.38,,78.71,,47.6,,0,1,0,0,0,0,0,0,0,,
35,1.46,0,0,transition,unknown,42.49,,73.67,,45.14,,0,1,0,0,0,0,0,0,0,,
36,1.501,0,0,transition,unknown,40.37,,68.93,,45.59,,0,1,0,0,0,0,0,0,0,,
37,1.543,0,0,up,unknown,36.36,,64.3,,42.61,,0,1,0,0,0,0,0,0,0,,
38,1.585,0,0,up,unknown,39.74,,60.46,,44.28,,0,1,0,0,0,0,0,0,0,,
39,1.627,0,0,up,unknown,42.59,,57.1,,43.57,,0,1,0,0,0,0,0,0,0,,
40,1.668,0,0,up,unknown,45.17,,54.23,,43.23,,0,1,0,0,0,0,0,0,0,,
41,1.71,0,0,up,unknown,42.28,,51.43,,44.08,,0,1,0,0,0,0,0,0,0,,
42,1.752,0,0,up,unknown,41.13,,48.72,,44.67,,0,1,0,0,0,0,0,0,0,,
43,1.793,0,0,up,unknown,39.15,,46.03,,43.59,,0,1,0,0,0,0,0,0,0,,
44,1.835,0,0,up,unknown,43.59,,44.2,,43.72,,0,1,0,0,0,0,0,0,0,,
45,1.877,0,0,up,unknown,45.87,,43.01,,43.89,,0,1,0,0,0,0,0,0,0,,
46,1.919,0,0,up,unknown,51.48,,42.52,,44.24,,0,1,0,0,0,0,0,0,0,,
47,1.96,0,0,up,unknown,53.32,,43.42,,44.03,,0,1,0,0,0,0,0,0,0,,
48,2.002,0,0,transition,unknown,56.1,,44.73,,42.72,,0,1,0,0,0,0,0,0,0,,
49,2.044,0,0,transition,unknown,60.96,,46.78,,41.76,,0,1,0,0,0,0,0,0,0,,
50,2.085,0,0,transition,unknown,74.29,,49.66,,40.96,,0,1,0,0,0,0,0,0,0,,
51,2.127,0,0,transition,unknown,71.13,,52.04,,40.37,,0,1,0,0,0,0,0,0,0,,
52,2.169,0,0,transition,unknown,71.33,,54.22,,37.68,,0,1,0,0,0,0,0,0,0,,
53,2.211,0,0,transition,unknown,73.0,,56.78,,37.83,,0,1,0,0,0,0,0,0,0,,
54,2.252,0,0,transition,unknown,78.21,,59.87,,38.2,,0,1,0,0,0,0,0,0,0,,
55,2.294,0,0,transition,unknown,77.98,,63.11,,37.34,,0,1,0,0,0,0,0,0,0,,
56,2.336,0,0,transition,unknown,77.11,,65.9,,35.25,,0,1,0,0,0,0,0,0,0,,
57,2.377,0,0,transition,unknown,77.88,,68.57,,34.53,,0,1,0,0,0,0,0,0,0,,
58,2.419,0,0,transition,unknown,80.19,,70.96,,33.56,,0,1,0,0,0,0,0,0,0,,
59,2.461,0,0,transition,unknown,82.47,,73.39,,33.79,,0,1,0,0,0,0,0,0,0,,
60,2.502,0,0,transition,unknown,82.99,,75.63,,32.26,,0,1,0,0,0,0,0,0,0,,
61,2.544,0,0,transition,unknown,85.04,,77.63,,32.53,,0,1,0,0,0,0,0,0,0,,
62,2.586,0,0,transition,unknown,88.02,,78.78,,32.08,,0,1,0,0,0,0,0,0,0,,
63,2.628,0,0,transition,unknown,88.84,,80.25,,31.35,,0,1,0,0,0,0,0,0,0,,
64,2.669,0,0,transition,unknown,90.12,,81.82,,29.83,,0,1,0,0,0,0,0,0,0,,
65,2.711,0,0,transition,unknown,91.49,,83.36,,27.8,,0,1,0,0,0,0,0,0,0,,
66,2.753,0,0,transition,unknown,91.54,,84.47,,26.1,,0,1,0,0,0,0,0,0,0,,
67,2.794,0,0,transition,unknown,95.21,,85.91,,25.99,,0,1,0,0,0,0,0,0,0,,
68,2.836,0,0,transition,unknown,96.95,,87.56,,25.9,,0,1,0,0,0,0,0,0,0,,
69,2.878,0,0,transition,unknown,98.24,,89.26,,25.4,,0,1,0,0,0,0,0,0,0,,
70,2.92,0,0,transition,unknown,99.95,,90.9,,24.73,,0,1,0,0,0,0,0,0,0,,
71,2.961,0,0,transition,unknown,100.93,,92.44,,24.09,,0,1,0,0,0,0,0,0,0,,
72,3.003,0,0,transition,unknown,102.45,,94.06,,23.51,,0,1,0,0,0,0,0,0,0,,
73,3.045,0,0,transition,unknown,105.41,,95.76,,22.13,,0,1,0,0,0,0,0,0,0,,
74,3.086,0,0,transition,unknown,110.71,,97.65,,21.68,,0,1,0,0,0,0,0,0,0,,
75,3.128,0,0,transition,unknown,114.06,,99.75,,20.89,,0,1,0,0,0,0,0,0,0,,
76,3.17,0,0,transition,unknown,112.91,,101.65,,19.15,,0,1,0,0,0,0,0,0,0,,
77,3.212,0,0,transition,unknown,115.36,,103.64,,18.38,,0,1,0,0,0,0,0,0,0,,
78,3.253,0,0,transition,unknown,115.91,,105.67,,16.76,,0,1,0,0,0,0,0,0,0,,
