frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_torso_arm_angle_deg,right_torso_arm_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,,160.74,,160.74,,7.43,1,1,0,0,0,0,0,0,0,,
2,0.066,0,0,unknown,down,,160.68,,160.71,,11.15,1,1,0,0,0,0,0,0,0,,
3,0.099,0,0,unknown,down,,161.25,,160.89,,11.93,1,1,0,0,0,0,0,0,0,,
4,0.132,0,0,unknown,down,,161.04,,160.93,,11.26,1,1,0,0,0,0,0,0,0,,
5,0.165,0,0,unknown,down,,159.33,,160.61,,12.17,1,1,0,0,0,0,0,0,0,,
6,0.198,0,0,unknown,down,,160.24,,160.55,,11.64,1,1,0,0,0,0,0,0,0,,
7,0.231,0,0,unknown,down,,156.78,,160.01,,12.64,1,1,0,0,0,0,0,0,0,,
8,0.264,0,0,unknown,down,,157.64,,159.71,,13.4,1,1,0,0,0,0,0,0,0,,
9,0.297,0,0,unknown,transition,,156.98,,159.41,,13.26,1,1,0,0,0,0,0,0,0,,
10,0.33,0,0,unknown,transition,,158.47,,159.32,,13.5,1,1,0,0,0,0,0,0,0,,
11,0.363,0,0,unknown,transition,,159.43,,159.33,,13.85,1,1,0,0,0,0,0,0,0,,
12,0.396,0,0,unknown,transition,,157.3,,159.16,,15.64,1,0,0,0,0,0,0,0,0,,
13,0.429,0,0,unknown,transition,,157.5,,158.89,,15.06,1,0,0,0,0,0,0,0,0,,
14,0.461,0,0,unknown,transition,,157.63,,158.63,,13.12,1,0,0,0,0,0,0,0,0,,
15,0.494,0,0,unknown,transition,,157.1,,158.29,,14.44,1,0,0,0,0,0,0,0,0,,
16,0.527,0,0,unknown,transition,,154.96,,157.78,,14.38,1,0,0,0,0,0,0,0,0,,
17,0.56,0,0,unknown,transition,,151.34,,157.11,,17.7,1,0,0,0,0,0,0,0,0,,
18,0.593,0,0,unknown,transition,,150.05,,156.26,,18.03,1,0,0,0,0,0,0,0,0,,
19,0.626,0,0,unknown,transition,,151.86,,155.85,,16.79,1,0,0,0,0,0,0,0,0,,
20,0.659,0,0,unknown,transition,,150.53,,155.26,,16.34,1,0,0,0,0,0,0,0,0,,
21,0.692,0,0,unknown,transition,,147.36,,154.46,,15.32,1,0,0,0,0,0,0,0,0,,
22,0.725,0,0,unknown,transition,,151.13,,153.85,,10.91,1,0,0,0,0,0,0,0,0,,
23,0.758,0,0,unknown,transition,,149.33,,153.01,,8.14,1,1,0,0,0,0,0,0,0,,
24,0.791,0,0,unknown,transition,,147.07,,152.15,,6.58,1,1,0,0,0,0,0,0,0,,
25,0.824,0,0,unknown,transition,,145.0,,151.11,,5.2,1,1,0,0,0,0,0,0,0,,
26,0.857,0,0,unknown,transition,,144.4,,150.01,,4.75,1,1,0,0,0,0,0,0,0,,
27,0.89,0,0,unknown,transition,,142.79,,148.82,,5.43,1,1,0,0,0,0,0,0,0,,
