frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,174.13,160.74,,160.74,4.14,7.43,174.75,177.83,1,1,0,0,0,0,0,0,0,,
2,0.066,0,0,unknown,unknown,153.45,160.68,,160.71,5.63,11.15,180.0,175.27,1,1,0,0,0,0,0,0,0,,
3,0.099,0,0,unknown,down,149.99,161.25,,160.89,8.66,11.93,179.56,174.57,1,1,0,0,0,0,0,0,0,,
4,0.132,0,0,unknown,down,148.69,161.04,,160.93,6.76,11.26,179.89,175.15,1,1,0,0,0,0,0,0,0,,
5,0.165,0,0,unknown,down,150.05,159.33,,160.61,8.05,12.17,179.78,175.36,1,1,0,0,0,0,0,0,0,,
6,0.198,0,0,unknown,down,149.9,160.24,,160.55,7.3,11.64,179.78,175.5,1,1,0,0,0,0,0,0,0,,
7,0.231,0,0,unknown,down,145.84,156.78,,160.01,8.14,12.64,179.67,176.29,1,1,0,0,0,0,0,0,0,,
8,0.264,0,0,unknown,down,147.24,157.64,,159.71,8.64,13.4,179.21,176.17,1,1,0,0,0,0,0,0,0,,
9,0.297,0,0,unknown,transition,148.92,156.98,,159.41,8.19,13.26,177.58,177.3,1,1,0,0,0,0,0,0,0,,
10,0.33,0,0,unknown,transition,144.82,158.47,,159.32,9.54,13.5,178.69,177.53,1,1,0,0,0,0,0,0,0,,
11,0.363,0,0,unknown,transition,143.98,159.43,,159.33,9.72,13.85,177.83,177.78,1,1,0,0,0,0,0,0,0,,
12,0.396,0,0,unknown,transition,143.35,157.3,,159.16,9.83,15.64,177.52,178.51,1,0,0,0,0,0,0,0,0,,
13,0.429,0,0,unknown,transition,146.8,157.5,,158.89,7.03,15.06,176.4,179.79,1,0,0,0,0,0,0,0,0,,
