frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,168.47,169.52,168.47,,10.57,6.19,178.18,179.47,1,1,0,0,0,0,0,0,0,,
2,0.067,0,0,unknown,unknown,164.32,163.99,166.4,,11.91,6.91,176.97,179.74,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,down,unknown,161.72,165.08,164.84,,11.61,5.49,176.27,179.23,1,1,0,0,0,0,0,0,0,,
4,0.133,0,0,down,unknown,158.63,163.69,163.29,,10.36,4.3,177.71,179.48,1,1,0,0,0,0,0,0,0,,
5,0.167,0,0,down,unknown,158.65,162.38,162.36,,8.99,3.39,177.69,179.48,1,1,0,0,0,0,0,0,0,,
6,0.2,0,0,transition,unknown,156.97,162.47,161.46,,6.65,2.9,179.24,178.46,1,1,0,0,0,0,0,0,0,,
7,0.233,0,0,transition,unknown,151.98,162.08,160.11,,4.95,1.95,179.74,178.96,1,1,0,0,0,0,0,0,0,,
8,0.267,0,0,transition,unknown,150.63,162.21,158.92,,1.86,0.56,180.0,177.11,1,1,0,0,0,0,0,0,0,,
9,0.3,0,0,transition,unknown,145.37,156.17,157.42,,1.46,0.17,179.48,177.66,1,1,0,0,0,0,0,0,0,,
10,0.333,0,0,transition,unknown,140.46,148.82,155.72,,0.78,0.55,179.22,178.43,1,1,0,0,0,0,0,0,0,,
11,0.367,0,0,transition,unknown,134.24,146.5,153.77,,0.12,2.09,178.67,179.46,1,1,0,0,0,0,0,0,0,,
12,0.4,0,0,transition,unknown,124.75,141.35,151.35,,2.9,9.18,179.21,178.14,1,1,0,0,0,0,0,0,0,,
13,0.433,0,0,transition,unknown,117.38,129.17,147.09,,4.18,9.59,178.69,178.15,1,1,0,0,0,0,0,0,0,,
14,0.467,0,0,transition,unknown,110.44,118.38,142.6,,4.49,7.75,178.45,178.96,1,1,0,0,0,0,0,0,0,,
15,0.5,0,0,transition,unknown,105.71,112.14,137.93,,6.54,9.78,178.73,178.96,1,1,0,0,0,0,0,0,0,,
16,0.533,0,0,transition,unknown,101.43,105.35,133.17,,7.27,8.5,178.49,179.48,1,1,0,0,0,0,0,0,0,,
17,0.567,0,0,transition,unknown,94.06,98.8,127.78,,7.91,10.58,178.75,179.49,1,1,0,0,0,0,0,0,0,,
18,0.6,0,0,transition,unknown,90.29,92.58,122.23,,10.15,12.99,178.75,179.48,1,1,0,0,0,0,0,0,0,,
19,0.633,0,0,transition,unknown,85.11,86.9,116.66,,11.54,14.81,178.75,179.74,1,1,0,0,0,0,0,0,0,,
20,0.667,0,0,transition,unknown,84.83,84.27,111.17,,16.77,18.96,178.49,179.47,0,1,0,0,0,0,0,0,0,,
21,0.7,0,0,transition,unknown,80.92,80.74,105.8,,20.11,23.69,178.49,179.74,0,0,0,0,0,0,0,0,0,,
22,0.733,0,0,transition,unknown,76.33,75.31,100.46,,20.93,23.17,178.23,179.74,0,0,0,0,0,0,0,0,0,,
23,0.767,0,0,transition,unknown,72.67,68.18,95.33,,22.84,21.44,178.0,179.21,0,0,0,0,0,0,0,0,0,,
24,0.8,0,0,transition,unknown,68.34,67.97,90.63,,25.19,25.01,177.99,179.22,0,0,0,0,0,0,0,0,0,,
25,0.833,0,0,transition,unknown,63.71,66.35,86.15,,25.88,25.53,178.23,178.72,0,0,0,0,0,0,0,0,0,,
26,0.867,0,0,transition,unknown,61.7,62.01,82.09,,27.14,19.26,177.99,178.7,0,0,0,0,0,0,0,0,0,,
27,0.9,0,0,transition,unknown,61.77,60.18,78.43,,28.69,26.83,177.98,179.48,0,0,0,0,0,0,0,0,0,,
28,0.933,0,0,transition,unknown,61.21,56.92,75.08,,29.96,30.3,177.49,179.74,0,0,0,0,0,0,0,0,0,,
29,0.967,0,0,transition,unknown,59.61,52.84,72.21,,31.3,29.69,177.48,179.48,0,0,0,0,0,0,0,0,0,,
30,1.0,0,0,transition,unknown,58.11,50.65,69.53,,32.39,31.04,177.48,179.22,0,0,0,0,0,0,0,0,0,,
31,1.033,0,0,transition,unknown,56.59,50.28,67.15,,32.82,32.33,177.23,179.74,0,0,0,0,0,0,0,0,0,,
32,1.067,0,0,transition,unknown,54.41,48.59,64.61,,32.52,31.59,177.73,179.47,0,0,0,0,0,0,0,0,0,,
33,1.1,0,0,transition,unknown,54.61,46.28,62.42,,32.23,28.12,177.98,179.22,0,0,0,0,0,0,0,0,0,,
34,1.133,0,0,transition,unknown,52.87,48.37,60.47,,31.54,27.35,177.99,179.22,0,0,0,0,0,0,0,0,0,,
35,1.167,0,0,transition,unknown,51.95,42.53,58.74,,32.47,29.88,178.23,178.96,0,0,0,0,0,0,0,0,0,,
36,1.2,0,0,transition,unknown,50.76,42.2,57.28,,32.88,29.62,178.22,179.22,0,0,0,0,0,0,0,0,0,,
37,1.233,0,0,transition,unknown,48.95,41.02,56.04,,32.16,29.64,178.47,178.7,0,0,0,0,0,0,0,0,0,,
38,1.267,0,0,transition,unknown,48.27,40.53,54.93,,32.27,28.63,178.72,178.7,0,0,0,0,0,0,0,0,0,,
39,1.3,0,0,up,unknown,48.68,40.78,53.84,,32.43,28.1,178.47,179.48,0,0,0,0,0,0,0,0,0,,
40,1.333,0,0,up,unknown,49.1,40.94,52.83,,32.59,27.33,178.21,179.74,0,0,0,0,0,0,0,0,0,,
41,1.367,0,0,up,unknown,48.67,42.6,51.91,,31.4,26.83,177.98,179.74,0,0,0,0,0,0,0,0,0,,
42,1.4,0,0,up,unknown,49.59,43.77,51.2,,31.4,29.41,177.98,179.48,0,0,0,0,0,0,0,0,0,,
43,1.433,0,0,up,unknown,50.27,48.51,50.68,,31.56,27.36,177.73,179.74,0,0,0,0,0,0,0,0,0,,
44,1.467,0,0,up,unknown,51.66,49.58,50.45,,31.03,27.66,177.48,179.48,0,0,0,0,0,0,0,0,0,,
45,1.5,0,0,transition,unknown,52.7,57.48,50.29,,31.01,27.64,177.72,178.7,0,0,0,0,0,0,0,0,0,,
46,1.533,0,0,transition,unknown,55.9,56.43,50.54,,30.48,27.91,177.72,178.68,0,0,0,0,0,0,0,0,0,,
47,1.567,0,0,transition,unknown,59.13,59.9,51.14,,31.15,27.9,177.46,178.15,0,0,0,0,0,0,0,0,0,,
48,1.6,0,0,transition,unknown,63.32,62.31,52.19,,29.56,27.36,177.2,178.93,0,0,0,0,0,0,0,0,0,,
49,1.633,0,0,transition,unknown,66.41,60.7,53.64,,27.99,24.98,176.95,178.92,0,0,0,0,0,0,0,0,0,,
