model_name,model_file,video_name,video_path,prediction,prediction_label,confidence_good,confidence_bad,features_used
No Duration,biceps_curl_rf_model_no_duration_newest.joblib,Biceps curl rekorunuz _ #bilekgüreşi #deniscyplenkov #gokalaf #keşfet #keşfetbeniöneçıkar#music.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Biceps curl rekorunuz _ #bilekgüreşi #deniscyplenkov #gokalaf #keşfet #keşfetbeniöneçıkar#music.mp4,1,Good Form,0.705,0.295,17
No Duration,biceps_curl_rf_model_no_duration_newest.joblib,Biceps_Curl_Exercise_Video_Generated.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Biceps_Curl_Exercise_Video_Generated.mp4,1,Good Form,0.59,0.41,17
No Duration,biceps_curl_rf_model_no_duration_newest.joblib,perfect.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\perfect.mp4,0,Bad Form,0.455,0.545,17
No Duration,biceps_curl_rf_model_no_duration_newest.joblib,Proper Sitting Posture (Spinal Alignment) #posturematters #sedentarylifestyle #sitting #posture.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Proper Sitting Posture (Spinal Alignment) #posturematters #sedentarylifestyle #sitting #posture.mp4,1,Good Form,0.75,0.25,17
No Duration,biceps_curl_rf_model_no_duration_newest.joblib,toprak.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\toprak.mp4,1,Good Form,0.535,0.465,17
No Duration,biceps_curl_rf_model_no_duration_newest.joblib,valid.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\valid.mp4,1,Good Form,0.835,0.165,17
No Duration,biceps_curl_rf_model_no_duration_newest.joblib,Video Project.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Video Project.mp4,1,Good Form,0.93,0.07,17
No Duration,biceps_curl_rf_model_no_duration_newest.joblib,WhatsApp Video 2025-12-06 at 01.25.16.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\WhatsApp Video 2025-12-06 at 01.25.16.mp4,1,Good Form,0.835,0.165,17
Shorter True Videos,biceps_curl_rf_model_shorterTrueVideos.joblib,1.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\1.mp4,1,Good Form,0.82,0.18,18
Shorter True Videos,biceps_curl_rf_model_shorterTrueVideos.joblib,Biceps curl !!   Nutrition.mp4,C:\Users\ITEMS\Desktop\can-eye\Gym-Buddy\models\testvideos\Biceps curl !!   Nutrition.mp4,1,Good Form,0.65,0.35,18
