frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,173.01,173.36,,,19.11,16.04,168.78,174.45,1,1,0,0,0,0,0,0,0,,
2,0.067,0,0,unknown,unknown,175.64,171.61,,,17.4,16.63,168.55,173.72,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,unknown,unknown,175.37,170.49,,,16.87,16.4,169.03,173.74,1,1,0,0,0,0,0,0,0,,
4,0.133,0,0,unknown,unknown,175.96,170.99,,,16.58,16.55,169.06,173.6,1,1,0,0,0,0,0,0,0,,
5,0.167,0,0,unknown,unknown,175.75,170.33,,,16.99,15.84,169.11,173.53,1,1,0,0,0,0,0,0,0,,
6,0.2,0,0,unknown,unknown,174.8,170.73,,,17.56,16.12,168.89,173.98,1,1,0,0,0,0,0,0,0,,
7,0.233,0,0,unknown,unknown,174.96,170.95,,,17.58,16.23,169.28,173.86,1,1,0,0,0,0,0,0,0,,
8,0.267,0,0,unknown,unknown,174.9,169.97,,,17.37,16.01,169.26,173.71,1,1,0,0,0,0,0,0,0,,
9,0.3,0,0,unknown,unknown,175.28,170.69,,,16.47,16.35,169.42,173.57,1,1,0,0,0,0,0,0,0,,
10,0.333,0,0,unknown,unknown,175.8,171.22,,,16.23,16.33,169.48,173.42,1,1,0,0,0,0,0,0,0,,
11,0.367,0,0,unknown,unknown,175.49,171.03,,,15.98,16.5,169.45,172.96,1,1,0,0,0,0,0,0,0,,
12,0.4,0,0,unknown,unknown,176.65,170.97,,,15.64,16.29,169.28,173.21,1,1,0,0,0,0,0,0,0,,
13,0.433,0,0,unknown,unknown,176.36,170.52,,,15.59,15.89,169.31,173.36,1,1,0,0,0,0,0,0,0,,
14,0.467,0,0,unknown,unknown,176.89,170.02,,,14.9,15.76,169.48,173.53,1,1,0,0,0,0,0,0,0,,
15,0.5,0,0,unknown,unknown,177.01,169.79,,,14.68,16.2,169.59,173.69,1,1,0,0,0,0,0,0,0,,
16,0.533,0,0,unknown,unknown,176.99,169.73,,,14.17,16.66,169.78,173.55,1,1,0,0,0,0,0,0,0,,
17,0.567,0,0,unknown,unknown,175.07,169.95,,,14.94,17.34,169.67,173.47,1,1,0,0,0,0,0,0,0,,
18,0.6,0,0,unknown,unknown,174.74,169.75,,,14.91,17.6,169.72,173.66,1,1,0,0,0,0,0,0,0,,
19,0.633,0,0,unknown,unknown,171.68,170.37,,,15.51,17.83,169.35,173.53,1,1,0,0,0,0,0,0,0,,
20,0.667,0,0,unknown,unknown,169.9,168.84,,,16.81,18.88,169.11,173.48,1,1,0,0,0,0,0,0,0,,
21,0.7,0,0,unknown,unknown,169.4,168.4,,,17.49,18.48,168.66,174.49,1,1,0,0,0,0,0,0,0,,
