frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.04,0,0,unknown,unknown,174.6,165.06,174.6,,23.34,5.32,168.87,179.1,1,1,0,0,0,0,0,0,0,,
2,0.08,0,0,down,unknown,177.13,165.75,175.86,,23.83,7.53,166.72,178.96,1,1,0,0,0,0,0,0,0,,
3,0.119,0,0,down,unknown,172.02,167.18,174.58,,24.17,4.34,167.47,179.7,1,1,0,0,0,0,0,0,0,,
4,0.159,0,0,down,unknown,172.09,165.48,173.96,,22.54,6.43,168.43,180.0,1,1,0,0,0,0,0,0,0,,
5,0.199,0,0,down,unknown,172.93,160.99,173.75,,21.78,5.44,168.66,179.55,1,1,0,0,0,0,0,0,0,,
6,0.239,0,0,down,unknown,170.0,166.75,173.13,,23.03,6.03,168.08,179.26,1,1,0,0,0,0,0,0,0,,
7,0.279,0,0,down,unknown,166.95,162.54,172.25,,24.51,7.47,167.15,179.55,1,1,0,0,0,0,0,0,0,,
8,0.319,0,0,down,unknown,165.66,163.61,171.42,,22.61,6.37,166.89,179.55,1,1,0,0,0,0,0,0,0,,
9,0.358,0,0,down,unknown,163.19,163.77,170.51,,22.71,3.06,166.97,179.7,1,1,0,0,0,0,0,0,0,,
10,0.398,0,0,down,unknown,159.01,159.83,169.36,,23.11,4.28,166.93,178.79,1,1,0,0,0,0,0,0,0,,
11,0.438,0,0,down,unknown,151.46,155.57,167.73,,25.41,0.45,166.18,177.58,1,1,0,0,0,0,0,0,0,,
12,0.478,0,0,transition,unknown,148.28,145.99,166.11,,27.12,2.26,165.96,177.43,1,1,0,0,0,0,0,0,0,,
13,0.518,0,0,transition,unknown,142.41,140.12,163.43,,26.78,0.94,166.6,178.18,1,1,0,0,0,0,0,0,0,,
14,0.557,0,0,transition,unknown,130.11,134.44,159.51,,25.14,1.37,166.81,178.63,1,1,0,0,0,0,0,0,0,,
15,0.597,0,0,transition,unknown,123.68,132.21,155.48,,27.92,2.33,165.82,177.67,1,1,0,0,0,0,0,0,0,,
16,0.637,0,0,transition,unknown,116.93,127.58,150.88,,27.83,1.2,165.4,177.24,1,1,0,0,0,0,0,0,0,,
17,0.677,0,0,transition,unknown,94.69,114.76,144.36,,27.14,0.1,165.08,177.63,1,1,0,0,0,0,0,0,0,,
18,0.717,0,0,transition,unknown,95.71,106.8,138.17,,28.58,2.33,165.03,177.95,1,1,0,0,0,0,0,0,0,,
19,0.756,0,0,transition,unknown,86.16,100.2,131.44,,29.48,0.32,164.76,177.06,1,1,0,0,0,0,0,0,0,,
20,0.796,0,0,transition,unknown,71.87,89.75,123.62,,28.44,2.42,164.41,178.46,1,1,0,0,0,0,0,0,0,,
21,0.836,0,0,transition,unknown,55.75,79.55,114.67,,25.29,2.46,165.15,179.09,1,1,0,0,0,0,0,0,0,,
22,0.876,0,0,transition,unknown,48.73,76.48,105.48,,25.54,5.52,166.38,178.81,1,1,0,0,0,0,0,0,0,,
