frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.017,0,0,unknown,unknown,133.94,138.63,133.94,138.63,7.59,9.23,175.44,177.24,1,1,0,0,0,0,0,0,0,,
2,0.033,0,0,unknown,unknown,136.16,132.31,135.05,135.47,6.86,9.6,177.63,176.74,1,1,0,0,0,0,0,0,0,,
3,0.05,0,0,transition,transition,134.04,129.36,134.71,133.43,5.41,11.14,178.57,177.16,1,1,0,0,0,0,0,0,0,,
4,0.066,0,0,transition,transition,134.53,126.46,134.67,131.69,5.62,11.35,178.4,176.44,1,1,0,0,0,0,0,0,0,,
5,0.083,0,0,transition,transition,129.7,122.15,133.68,129.78,6.67,10.26,178.58,177.04,1,1,0,0,0,0,0,0,0,,
6,0.1,0,0,transition,transition,126.23,120.96,132.43,128.31,6.57,10.61,177.78,177.15,1,1,0,0,0,0,0,0,0,,
7,0.116,0,0,transition,transition,127.82,120.59,131.77,127.21,7.74,9.15,177.61,176.24,1,1,0,0,0,0,0,0,0,,
8,0.133,0,0,transition,transition,121.16,112.17,130.45,125.33,7.07,8.45,177.33,176.24,1,1,0,0,0,0,0,0,0,,
9,0.149,0,0,transition,transition,116.73,105.67,128.92,123.14,6.37,9.28,177.33,176.52,1,1,0,0,0,0,0,0,0,,
10,0.166,0,0,transition,transition,117.14,105.68,128.92,121.4,5.42,9.05,176.65,176.49,1,1,0,0,0,0,0,0,0,,
11,0.183,0,0,transition,transition,104.1,102.64,128.92,119.69,4.25,7.51,176.38,176.98,1,1,0,0,0,0,0,0,0,,
12,0.199,0,0,transition,transition,111.26,99.44,128.92,118.01,5.44,6.31,176.85,176.51,1,1,0,0,0,0,0,0,0,,
13,0.216,0,0,transition,transition,76.59,93.68,128.92,114.26,12.51,5.44,176.41,176.26,1,1,0,0,0,0,0,0,0,,
14,0.232,0,0,transition,transition,94.91,92.26,128.92,110.92,9.41,6.69,176.3,176.44,1,1,0,0,0,0,0,0,0,,
15,0.249,0,0,transition,transition,97.08,88.07,128.92,107.48,8.33,6.56,176.33,176.3,1,1,0,0,0,0,0,0,0,,
16,0.266,0,0,transition,transition,100.04,85.35,128.92,104.06,8.53,6.64,176.8,176.75,1,1,0,0,0,0,0,0,0,,
17,0.282,0,0,transition,transition,85.64,79.64,128.92,100.51,10.88,6.38,176.5,176.89,1,1,0,0,0,0,0,0,0,,
18,0.299,0,0,transition,transition,89.03,78.71,128.92,96.99,9.59,5.61,176.82,176.59,1,1,0,0,0,0,0,0,0,,
19,0.316,0,0,transition,transition,81.98,76.81,128.92,93.34,11.32,5.46,176.98,176.73,1,1,0,0,0,0,0,0,0,,
20,0.332,0,0,transition,transition,88.09,76.64,128.92,90.38,14.13,5.19,176.69,176.74,1,1,0,0,0,0,0,0,0,,
21,0.349,0,0,transition,transition,88.84,71.33,128.92,87.52,17.9,5.09,176.7,176.3,1,1,0,0,0,0,0,0,0,,
22,0.365,0,0,transition,transition,81.92,69.55,128.92,84.51,17.34,4.94,176.55,176.44,1,1,0,0,0,0,0,0,0,,
23,0.382,0,0,transition,transition,73.17,68.95,128.92,81.7,15.06,4.26,177.47,176.58,1,1,0,0,0,0,0,0,0,,
24,0.399,0,0,transition,transition,66.98,67.22,128.92,79.02,16.42,3.41,176.85,176.87,1,1,0,0,0,0,0,0,0,,
25,0.415,0,0,transition,transition,60.97,66.68,128.92,76.77,15.66,3.42,177.0,176.58,1,1,0,0,0,0,0,0,0,,
26,0.432,0,0,transition,transition,63.36,65.27,122.37,74.52,16.05,3.18,176.55,176.27,1,1,0,0,0,0,0,0,0,,
27,0.448,0,0,transition,transition,65.36,64.0,117.18,72.51,15.86,2.66,176.37,176.22,1,1,0,0,0,0,0,0,0,,
28,0.465,0,0,transition,transition,67.0,61.28,117.18,70.51,20.45,1.67,176.16,176.09,1,1,0,0,0,0,0,0,0,,
29,0.482,0,0,transition,transition,61.12,56.92,112.51,68.61,18.08,1.68,176.49,176.12,1,1,0,0,0,0,0,0,0,,
30,0.498,0,0,transition,transition,56.51,54.34,112.51,66.58,19.41,2.0,175.71,176.08,1,1,0,0,0,0,0,0,0,,
31,0.515,0,0,transition,transition,54.76,53.28,105.91,64.62,18.41,1.77,175.08,175.73,1,1,0,0,0,0,0,0,0,,
32,0.531,0,0,transition,transition,59.14,52.02,105.91,62.57,17.48,1.08,174.47,175.6,1,1,0,0,0,0,0,0,0,,
33,0.548,0,0,transition,transition,60.0,51.47,99.57,60.91,15.95,0.9,174.85,175.25,1,1,0,0,0,0,0,0,0,,
34,0.565,0,0,transition,transition,57.64,49.07,93.2,59.21,15.5,0.17,174.12,175.11,1,1,0,0,0,0,0,0,0,,
35,0.581,0,0,transition,transition,56.32,49.68,86.68,57.6,16.2,0.24,174.72,175.3,1,1,0,0,0,0,0,0,0,,
36,0.598,0,0,transition,up,56.06,48.96,80.55,56.08,15.78,0.94,175.27,174.87,1,1,0,0,0,0,0,0,0,,
37,0.614,0,0,transition,up,56.27,48.63,74.72,54.58,16.83,0.58,174.81,175.04,1,1,0,0,0,0,0,0,0,,
38,0.631,0,0,transition,up,55.21,47.69,68.67,53.11,16.76,0.53,174.61,175.01,1,1,0,0,0,0,0,0,0,,
39,0.648,0,0,transition,up,54.35,48.0,63.1,51.78,16.82,1.3,174.63,175.17,1,1,0,0,0,0,0,0,0,,
40,0.664,0,0,transition,up,54.81,48.96,57.94,50.75,17.08,1.44,174.43,175.01,1,1,0,0,0,0,0,0,0,,
41,0.681,0,0,transition,up,52.67,49.37,57.05,50.12,15.65,1.27,174.09,174.83,1,1,0,0,0,0,0,0,0,,
42,0.697,0,0,transition,up,53.56,49.07,56.06,49.68,14.96,1.5,174.29,174.55,1,1,0,0,0,0,0,0,0,,
43,0.714,0,0,transition,up,53.49,48.28,55.43,49.27,14.35,1.37,174.47,174.38,1,1,0,0,0,0,0,0,0,,
44,0.731,0,0,transition,up,55.97,48.28,55.53,48.96,15.76,1.26,174.52,174.27,1,1,0,0,0,0,0,0,0,,
45,0.747,0,0,transition,up,57.89,47.7,55.35,48.64,16.65,0.86,174.2,174.42,1,1,0,0,0,0,0,0,0,,
46,0.764,0,0,transition,up,57.7,48.54,55.36,48.6,16.64,0.9,174.08,174.44,1,1,0,0,0,0,0,0,0,,
47,0.781,0,0,transition,up,57.3,48.17,55.44,48.47,16.47,0.92,173.93,174.45,1,1,0,0,0,0,0,0,0,,
48,0.797,0,0,transition,up,58.37,48.31,55.63,48.42,17.56,1.07,173.88,174.91,1,1,0,0,0,0,0,0,0,,
49,0.814,0,0,transition,up,59.2,47.92,55.88,48.36,18.37,0.5,174.05,174.93,1,1,0,0,0,0,0,0,0,,
50,0.83,0,0,transition,up,59.32,47.67,56.22,48.36,18.58,0.34,173.91,174.77,1,1,0,0,0,0,0,0,0,,
51,0.847,0,0,transition,up,62.66,48.16,56.91,48.37,19.95,0.6,174.0,174.7,1,1,0,0,0,0,0,0,0,,
52,0.864,0,0,transition,up,58.62,47.63,57.23,48.26,17.43,0.16,174.27,174.56,1,1,0,0,0,0,0,0,0,,
53,0.88,0,0,transition,up,57.84,47.79,57.66,48.13,17.6,0.03,174.1,174.71,1,1,0,0,0,0,0,0,0,,
54,0.897,0,0,transition,up,56.75,48.72,57.93,48.1,17.04,0.43,173.95,174.83,1,1,0,0,0,0,0,0,0,,
55,0.913,0,0,transition,up,57.16,49.46,58.23,48.2,17.94,0.74,173.83,174.83,1,1,0,0,0,0,0,0,0,,
56,0.93,0,0,transition,up,55.98,48.99,58.23,48.26,17.99,0.61,173.78,174.96,1,1,0,0,0,0,0,0,0,,
57,0.947,0,0,transition,up,55.06,48.68,58.0,48.34,16.94,0.42,173.86,174.85,1,1,0,0,0,0,0,0,0,,
58,0.963,0,0,transition,up,54.09,49.44,57.7,48.41,15.41,0.56,173.68,174.65,1,1,0,0,0,0,0,0,0,,
59,0.98,0,0,transition,up,54.04,48.88,57.42,48.47,15.21,0.17,173.83,174.82,1,1,0,0,0,0,0,0,0,,
60,0.996,0,0,transition,up,53.67,49.56,57.03,48.58,14.86,0.92,173.81,174.46,1,1,0,0,0,0,0,0,0,,
61,1.013,0,0,transition,up,54.78,49.08,56.67,48.67,15.65,0.89,174.14,174.49,1,1,0,0,0,0,0,0,0,,
62,1.03,0,0,transition,up,54.78,49.55,56.29,48.83,15.03,0.75,174.38,174.29,1,1,0,0,0,0,0,0,0,,
