frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,6.45,36.09,6.45,36.09,17.57,14.86,172.11,174.5,1,1,0,0,0,0,0,0,0,,
2,0.067,0,0,up,unknown,2.8,38.61,4.63,36.09,16.96,17.23,172.11,175.69,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,up,unknown,5.69,39.75,4.98,36.09,18.48,15.75,172.06,175.85,1,1,0,0,0,0,0,0,0,,
4,0.133,0,0,up,unknown,6.72,42.32,5.42,36.09,18.39,17.06,171.89,176.16,1,1,0,0,0,0,0,0,0,,
5,0.167,0,0,up,unknown,9.71,48.29,6.27,36.09,20.04,16.39,170.81,177.64,1,1,0,0,0,0,0,0,0,,
6,0.2,0,0,up,unknown,17.81,51.6,8.2,36.09,17.36,16.04,170.51,178.35,1,1,0,0,0,0,0,0,0,,
7,0.234,0,0,up,unknown,23.73,51.94,10.42,36.09,14.93,14.43,169.92,179.67,1,1,0,0,0,0,0,0,0,,
8,0.267,0,0,up,unknown,26.18,55.37,12.39,36.09,13.65,12.63,170.2,179.83,1,1,0,0,0,0,0,0,0,,
9,0.3,0,0,up,unknown,28.13,56.95,14.14,36.09,11.22,13.42,169.53,179.83,1,1,0,0,0,0,0,0,0,,
10,0.334,0,0,up,unknown,31.51,64.24,15.87,36.09,12.25,11.02,169.25,180.0,1,1,0,0,0,0,0,0,0,,
11,0.367,0,0,up,unknown,38.19,66.37,17.9,36.09,13.67,11.06,169.37,179.84,1,1,0,0,0,0,0,0,0,,
12,0.4,0,0,up,unknown,40.64,73.11,19.8,36.09,13.35,8.3,169.19,179.34,1,1,0,0,0,0,0,0,0,,
13,0.434,0,0,up,unknown,48.0,77.67,23.26,36.09,15.62,5.37,168.72,178.85,1,1,0,0,0,0,0,0,0,,
14,0.467,0,0,up,unknown,52.97,84.69,27.44,36.09,18.21,10.59,168.75,179.16,1,1,0,0,0,0,0,0,0,,
15,0.501,0,0,transition,unknown,66.89,93.25,32.54,36.09,16.27,9.46,168.88,178.64,1,1,0,0,0,0,0,0,0,,
16,0.534,0,0,transition,unknown,80.19,99.96,38.66,36.09,18.05,10.93,168.35,179.49,1,1,0,0,0,0,0,0,0,,
17,0.567,0,0,transition,unknown,86.35,111.49,45.05,73.79,18.28,13.24,167.94,178.81,1,1,0,0,0,0,0,0,0,,
18,0.601,0,0,transition,transition,107.05,115.25,52.49,87.61,12.41,13.43,168.97,179.83,1,1,0,0,0,0,0,0,0,,
19,0.634,0,0,transition,transition,121.3,115.79,60.62,87.61,15.23,11.02,169.37,179.83,1,1,0,0,0,0,0,0,0,,
20,0.667,0,0,transition,transition,128.35,123.97,69.13,96.7,12.69,10.34,168.97,178.85,1,1,0,0,0,0,0,0,0,,
21,0.701,0,0,transition,transition,132.8,127.45,77.85,102.85,13.88,9.62,169.36,179.5,1,1,0,0,0,0,0,0,0,,
22,0.734,0,0,transition,transition,145.62,135.06,87.36,102.85,10.69,12.54,171.53,177.98,1,1,0,0,0,0,0,0,0,,
23,0.767,0,0,transition,transition,146.72,145.31,96.41,102.85,12.6,14.26,171.38,177.85,1,1,0,0,0,0,0,0,0,,
24,0.801,0,0,transition,transition,151.23,150.45,105.62,110.78,11.5,13.74,171.05,178.82,1,1,0,0,0,0,0,0,0,,
25,0.834,0,0,transition,transition,152.93,152.94,114.37,110.78,11.12,13.7,171.15,179.67,1,1,0,0,0,0,0,0,0,,
26,0.868,0,0,transition,transition,155.62,154.06,122.92,110.78,11.7,12.72,170.95,180.0,1,1,0,0,0,0,0,0,0,,
27,0.901,0,0,transition,transition,162.82,156.29,130.92,110.78,11.28,11.77,169.3,179.34,1,1,0,0,0,0,0,0,0,,
28,0.934,0,0,down,transition,163.3,155.8,,117.22,11.49,12.76,170.21,179.35,1,1,0,0,0,0,0,0,0,,
29,0.968,0,0,down,transition,166.12,159.44,166.12,117.22,11.2,10.54,169.34,179.17,1,1,0,0,0,0,0,0,0,,
30,1.001,0,0,down,transition,166.01,163.82,166.12,117.22,12.52,12.15,169.37,179.68,1,1,0,0,0,0,0,0,0,,
31,1.034,0,0,down,transition,165.64,165.16,166.12,117.22,13.13,11.1,169.32,179.52,1,1,0,0,0,0,0,0,0,,
32,1.068,0,0,down,transition,167.35,168.56,166.12,117.22,12.4,11.34,169.72,179.68,1,1,0,0,0,0,0,0,0,,
33,1.101,0,0,down,transition,167.75,172.12,166.12,117.22,13.0,10.63,169.1,179.84,1,1,0,0,0,0,0,0,0,,
34,1.134,0,0,down,transition,170.67,173.78,166.12,117.22,11.84,11.86,169.19,179.69,1,1,0,0,0,0,0,0,0,,
35,1.168,0,0,down,transition,170.49,174.0,166.12,117.22,11.65,12.33,169.64,179.22,1,1,0,0,0,0,0,0,0,,
36,1.201,0,0,down,transition,169.59,176.14,166.12,117.22,12.18,11.61,169.37,180.0,1,1,0,0,0,0,0,0,0,,
37,1.235,0,0,down,transition,170.29,176.28,166.12,117.22,11.74,11.69,169.55,179.85,1,1,0,0,0,0,0,0,0,,
38,1.268,0,0,down,transition,171.82,173.57,166.12,117.22,10.9,10.98,170.12,179.85,1,1,0,0,0,0,0,0,0,,
39,1.301,0,0,down,transition,170.89,171.04,166.12,117.22,11.89,10.29,169.39,179.69,1,1,0,0,0,0,0,0,0,,
40,1.335,0,0,down,transition,170.51,170.02,166.12,117.22,11.51,10.97,169.8,179.69,1,1,0,0,0,0,0,0,0,,
41,1.368,0,0,down,transition,169.56,165.86,166.12,117.22,11.03,10.2,170.0,179.84,1,1,0,0,0,0,0,0,0,,
42,1.401,0,0,down,transition,166.17,165.33,166.15,117.22,11.49,12.2,170.9,179.05,1,1,0,0,0,0,0,0,0,,
43,1.435,0,0,down,transition,164.62,163.56,165.64,117.22,11.97,11.71,170.46,179.84,1,1,0,0,0,0,0,0,0,,
44,1.468,0,0,down,transition,161.8,159.1,164.68,117.22,11.79,12.89,170.98,178.54,1,1,0,0,0,0,0,0,0,,
45,1.502,0,0,down,transition,156.23,153.24,162.99,117.22,11.34,11.74,170.89,179.84,1,1,0,0,0,0,0,0,0,,
46,1.535,0,0,transition,transition,152.13,150.33,161.18,117.22,13.73,11.75,169.6,178.99,1,1,0,0,0,0,0,0,0,,
47,1.568,0,0,transition,transition,149.58,144.19,159.52,117.22,12.17,12.97,172.04,178.04,1,1,0,0,0,0,0,0,0,,
48,1.602,0,0,transition,transition,147.17,137.03,157.98,117.22,12.13,11.69,171.33,177.87,1,1,0,0,0,0,0,0,0,,
49,1.635,0,0,transition,transition,135.03,125.74,155.43,118.28,12.65,10.88,170.69,178.68,1,1,0,0,0,0,0,0,0,,
50,1.668,0,0,transition,transition,124.28,123.01,152.31,118.81,13.08,11.68,170.86,179.19,1,1,0,0,0,0,0,0,0,,
51,1.702,0,0,transition,transition,114.17,114.05,148.85,118.33,11.76,10.76,170.96,178.71,1,1,0,0,0,0,0,0,0,,
52,1.735,0,0,transition,transition,73.81,112.6,142.59,118.33,14.94,10.75,170.46,179.19,1,1,0,0,0,0,0,0,0,,
53,1.768,0,0,transition,transition,67.7,94.43,134.39,116.16,15.06,8.2,171.57,179.84,1,1,0,0,0,0,0,0,0,,
54,1.802,0,0,transition,transition,50.51,82.85,124.75,113.38,17.33,4.38,170.84,179.04,1,1,0,0,0,0,0,0,0,,
55,1.835,0,0,transition,transition,51.73,78.2,115.34,113.38,17.61,5.84,171.85,179.52,1,1,0,0,0,0,0,0,0,,
56,1.869,0,0,transition,transition,51.29,77.9,106.14,116.87,11.85,7.64,171.91,179.68,1,1,0,0,0,0,0,0,0,,
57,1.902,0,0,transition,transition,41.9,70.19,96.61,116.87,11.97,10.57,171.45,179.84,1,1,0,0,0,0,0,0,0,,
58,1.935,0,0,up,transition,35.74,62.38,86.91,116.87,12.74,11.24,171.91,179.2,1,1,0,0,0,0,0,0,0,,
59,1.969,0,0,up,transition,28.4,58.68,76.81,116.87,13.02,10.65,172.15,179.53,1,1,0,0,0,0,0,0,0,,
60,2.002,0,0,up,transition,22.4,56.42,66.41,116.87,15.28,12.47,171.91,179.53,1,1,0,0,0,0,0,0,0,,
61,2.035,0,0,up,transition,19.74,54.88,56.81,116.87,16.86,14.64,171.52,179.69,1,1,0,0,0,0,0,0,0,,
