frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.042,0,0,unknown,unknown,7.13,8.81,7.13,8.81,7.38,10.47,172.36,173.78,1,1,0,0,0,0,0,0,0,,
2,0.083,0,0,up,up,6.64,9.58,6.89,9.19,7.64,11.44,173.68,174.58,1,1,0,0,0,0,0,0,0,,
3,0.125,0,0,up,up,6.84,9.07,6.87,9.15,8.1,10.99,174.01,174.46,1,1,0,0,0,0,0,0,0,,
4,0.167,0,0,up,up,7.2,8.28,6.96,8.93,8.01,10.54,173.83,173.86,1,1,0,0,0,0,0,0,0,,
5,0.209,0,0,up,up,7.23,7.96,7.01,8.74,8.14,10.48,173.69,173.88,1,1,0,0,0,0,0,0,0,,
6,0.25,0,0,up,up,7.38,8.26,7.07,8.66,8.29,10.63,173.56,174.03,1,1,0,0,0,0,0,0,0,,
7,0.292,0,0,up,up,7.09,10.23,7.07,8.88,8.03,11.23,173.57,174.68,1,1,0,0,0,0,0,0,0,,
8,0.334,0,0,up,up,6.68,10.24,7.02,9.05,7.47,10.53,173.32,174.85,1,1,0,0,0,0,0,0,0,,
9,0.375,0,0,up,up,6.19,10.54,6.93,9.22,7.08,10.56,173.18,175.02,1,1,0,0,0,0,0,0,0,,
10,0.417,0,0,up,up,6.55,10.23,6.89,9.32,6.95,10.17,173.05,174.86,1,1,0,0,0,0,0,0,0,,
11,0.459,0,0,up,up,7.75,11.13,6.97,9.48,6.65,10.11,173.35,175.15,1,1,0,0,0,0,0,0,0,,
12,0.5,0,0,up,up,11.17,16.05,7.32,10.03,8.04,9.74,173.97,174.75,1,1,0,0,0,0,0,0,0,,
13,0.542,0,0,up,up,9.76,15.01,7.54,10.55,7.91,9.33,173.85,174.37,1,1,0,0,0,0,0,0,0,,
14,0.584,0,0,up,up,13.03,16.21,8.07,11.1,8.2,10.0,174.3,173.94,1,1,0,0,0,0,0,0,0,,
15,0.626,0,0,up,up,11.93,20.55,8.5,12.06,7.16,9.1,173.34,173.38,1,1,0,0,0,0,0,0,0,,
16,0.667,0,0,up,up,49.34,46.39,12.01,15.23,5.97,10.98,172.93,172.26,1,1,0,0,0,0,0,0,0,,
17,0.709,0,0,up,up,89.16,132.62,18.84,25.62,6.85,11.56,172.31,172.41,1,1,0,0,0,0,0,0,0,,
18,0.751,0,0,up,up,139.66,171.08,29.86,39.19,7.34,10.07,172.35,173.03,1,1,0,0,0,0,0,0,0,,
19,0.792,0,0,transition,up,151.0,166.75,41.85,52.23,6.4,7.01,172.35,173.31,1,1,0,0,0,0,0,0,0,,
20,0.834,0,0,transition,down,163.8,170.08,54.95,,6.44,7.92,172.61,173.02,1,1,0,0,0,0,0,0,0,,No transition detected
21,0.876,0,0,down,down,167.18,167.03,,167.03,7.36,7.84,172.95,173.08,1,1,0,0,0,0,0,0,0,,No transition detected
22,0.918,0,0,down,down,166.73,171.45,166.73,169.24,6.7,8.54,173.3,172.95,1,1,0,0,0,0,0,0,0,,No transition detected
23,0.959,0,0,down,down,167.71,172.01,167.22,170.17,7.01,8.29,172.69,173.19,1,1,0,0,0,0,0,0,0,,No transition detected
24,1.001,0,0,down,down,169.58,174.01,168.01,171.13,8.17,8.79,171.83,173.79,1,1,0,0,0,0,0,0,0,,No transition detected
25,1.043,0,0,down,down,170.83,173.37,168.71,171.57,8.37,8.47,171.93,174.42,1,1,0,0,0,0,0,0,0,,No transition detected
26,1.084,0,0,down,down,172.16,172.43,169.4,171.72,8.68,8.45,172.2,174.12,1,1,0,0,0,0,0,0,0,,No transition detected
27,1.126,0,0,down,down,174.6,173.06,170.27,171.91,9.1,8.4,172.36,174.42,1,1,0,0,0,0,0,0,0,,No transition detected
28,1.168,0,0,down,down,173.62,173.1,170.75,172.06,8.92,8.29,172.23,174.5,1,1,0,0,0,0,0,0,0,,No transition detected
29,1.21,0,0,down,down,174.69,174.46,171.24,172.32,9.62,8.55,172.07,174.47,1,1,0,0,0,0,0,0,0,,No transition detected
30,1.251,0,0,down,down,174.99,175.79,171.66,172.67,9.82,9.8,171.59,173.74,1,1,0,0,0,0,0,0,0,,No transition detected
31,1.293,0,0,down,down,175.32,175.7,172.02,172.95,9.97,9.66,171.69,173.61,1,1,0,0,0,0,0,0,0,,No transition detected
32,1.335,0,0,down,down,175.38,176.24,172.33,173.22,10.5,9.54,171.15,174.26,1,1,0,0,0,0,0,0,0,,No transition detected
33,1.376,0,0,down,down,175.96,176.43,172.63,174.0,10.49,9.89,171.41,174.4,1,1,0,0,0,0,0,0,0,,No transition detected
34,1.418,0,0,down,down,176.07,176.46,173.41,174.42,9.8,9.99,171.85,174.02,1,1,0,0,0,0,0,0,0,,No transition detected
35,1.46,0,0,down,down,177.08,177.1,174.19,174.84,10.38,9.92,171.81,174.1,1,1,0,0,0,0,0,0,0,,No transition detected
36,1.501,0,0,down,down,177.34,177.97,174.84,175.18,10.97,10.6,171.77,173.68,1,1,0,0,0,0,0,0,0,,No transition detected
37,1.543,0,0,down,down,177.66,178.3,175.41,175.59,11.44,10.61,171.58,173.93,1,1,0,0,0,0,0,0,0,,No transition detected
38,1.585,0,0,down,down,177.42,178.27,175.85,176.07,11.39,10.01,171.36,174.53,1,1,0,0,0,0,0,0,0,,No transition detected
39,1.627,0,0,down,down,177.75,178.25,176.11,176.51,10.96,10.26,171.5,174.26,1,1,0,0,0,0,0,0,0,,No transition detected
40,1.668,0,0,down,down,177.06,178.24,176.39,176.93,10.96,10.61,171.23,173.93,1,1,0,0,0,0,0,0,0,,No transition detected
41,1.71,0,0,down,down,176.38,178.1,176.53,177.24,10.51,9.75,171.42,174.79,1,1,0,0,0,0,0,0,0,,No transition detected
42,1.752,0,0,down,down,175.69,177.19,176.59,177.35,10.31,9.8,171.65,174.56,1,1,0,0,0,0,0,0,0,,No transition detected
43,1.793,0,0,down,down,175.35,176.06,176.6,177.38,10.08,10.08,171.87,173.77,1,1,0,0,0,0,0,0,0,,No transition detected
44,1.835,0,0,down,down,173.73,176.02,176.46,177.36,9.48,9.8,172.23,174.11,1,1,0,0,0,0,0,0,0,,No transition detected
45,1.877,0,0,down,down,171.64,176.22,176.1,177.35,8.26,8.86,172.61,174.57,1,1,0,0,0,0,0,0,0,,No transition detected
46,1.919,0,0,down,down,170.73,176.04,175.65,177.31,7.79,8.88,172.79,173.71,1,1,0,0,0,0,0,0,0,,No transition detected
47,1.96,0,0,down,down,168.67,175.23,174.95,177.16,7.85,8.55,172.73,174.09,1,1,0,0,0,0,0,0,0,,No transition detected
48,2.002,0,0,down,down,168.64,173.97,174.23,176.82,7.0,8.99,173.6,173.11,1,1,0,0,0,0,0,0,0,,No transition detected
