frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_torso_arm_angle_deg,right_torso_arm_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,168.63,168.63,,168.63,3.22,1.18,1,1,0,0,0,0,0,0,0,,
2,0.067,0,0,unknown,unknown,164.84,173.6,,168.63,1.73,5.21,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,unknown,unknown,170.75,172.77,,168.63,2.21,4.47,1,1,0,0,0,0,0,0,0,,
4,0.133,0,0,unknown,unknown,161.93,172.22,,168.63,1.55,3.88,1,1,0,0,0,0,0,0,0,,
5,0.167,0,0,unknown,unknown,167.64,168.93,,168.63,1.76,2.93,1,1,0,0,0,0,0,0,0,,
6,0.2,0,0,unknown,unknown,179.87,175.49,,168.63,6.15,5.03,1,1,0,0,0,0,0,0,0,,
7,0.234,0,0,unknown,down,170.84,171.49,,170.06,1.57,3.58,1,1,0,0,0,0,0,0,0,,
8,0.267,0,0,unknown,down,169.97,172.27,,170.8,4.65,5.28,1,1,0,0,0,0,0,0,0,,
9,0.3,0,0,unknown,down,175.74,169.73,,170.8,5.58,3.84,1,1,0,0,0,0,0,0,0,,
10,0.334,0,0,unknown,down,172.67,172.03,,170.8,5.6,4.93,1,1,0,0,0,0,0,0,0,,
11,0.367,0,0,unknown,down,175.82,176.71,,172.28,5.74,5.76,1,1,0,0,0,0,0,0,0,,
12,0.4,0,0,unknown,down,170.88,176.04,,172.28,5.67,6.33,1,1,0,0,0,0,0,0,0,,
13,0.434,0,0,unknown,down,171.53,179.8,,172.28,5.65,8.21,1,1,0,0,0,0,0,0,0,,
14,0.467,0,0,unknown,down,172.23,174.08,,172.28,2.83,5.67,1,1,0,0,0,0,0,0,0,,
15,0.5,0,0,unknown,down,174.06,177.53,,172.28,7.27,8.58,1,1,0,0,0,0,0,0,0,,
16,0.534,0,0,unknown,down,167.65,177.21,,172.28,6.08,6.82,1,1,0,0,0,0,0,0,0,,
17,0.567,0,0,unknown,down,173.67,179.14,,172.28,2.79,7.23,1,1,0,0,0,0,0,0,0,,
18,0.6,0,0,unknown,down,155.05,174.62,,172.28,5.31,4.29,1,1,0,0,0,0,0,0,0,,
19,0.634,0,0,unknown,down,149.02,166.97,,172.28,5.81,5.17,1,1,0,0,0,0,0,0,0,,
20,0.667,0,0,unknown,down,148.49,163.31,,172.28,7.09,0.39,1,1,0,0,0,0,0,0,0,,
21,0.701,0,0,unknown,down,148.4,163.08,,172.28,3.62,0.56,1,1,0,0,0,0,0,0,0,,
22,0.734,0,0,unknown,down,143.72,159.42,,169.7,8.14,0.8,1,1,0,0,0,0,0,0,0,,
23,0.767,0,0,unknown,transition,142.15,156.44,,167.49,7.93,0.64,1,1,0,0,0,0,0,0,0,,
24,0.801,0,0,unknown,transition,139.48,146.29,,164.46,3.5,2.26,1,1,0,0,0,0,0,0,0,,
25,0.834,0,0,unknown,transition,136.01,140.92,,161.52,7.4,0.35,1,1,0,0,0,0,0,0,0,,
26,0.867,0,0,unknown,transition,139.15,137.05,,158.8,4.77,1.18,1,1,0,0,0,0,0,0,0,,
27,0.901,0,0,unknown,transition,129.13,129.92,,155.91,4.29,3.73,1,1,0,0,0,0,0,0,0,,
28,0.934,0,0,unknown,transition,126.33,129.18,,153.48,5.25,4.84,1,1,0,0,0,0,0,0,0,,
29,0.967,0,0,unknown,transition,127.29,126.04,,151.2,0.81,2.84,1,1,0,0,0,0,0,0,0,,
