frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,148.65,164.63,148.65,,22.44,7.63,171.24,178.18,1,1,0,0,0,0,0,0,0,,
2,0.067,0,0,transition,unknown,145.69,165.4,147.17,,23.67,6.85,170.43,179.2,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,transition,unknown,145.4,166.94,146.58,,22.38,8.71,170.91,178.71,1,1,0,0,0,0,0,0,0,,
4,0.133,0,0,transition,unknown,144.65,167.16,146.1,,22.75,8.96,171.15,178.54,1,1,0,0,0,0,0,0,0,,
5,0.167,0,0,transition,unknown,144.15,167.83,145.71,,21.94,9.66,171.82,178.09,1,1,0,0,0,0,0,0,0,,
6,0.2,0,0,transition,unknown,144.1,170.27,145.44,,22.05,12.2,171.85,177.75,1,1,0,0,0,0,0,0,0,,
7,0.234,0,0,transition,unknown,145.93,165.33,145.51,,22.63,9.0,170.11,179.68,1,1,0,0,0,0,0,0,0,,
8,0.267,0,0,transition,unknown,141.49,165.74,145.01,,22.03,10.61,171.04,178.52,1,1,0,0,0,0,0,0,0,,
9,0.3,0,0,transition,unknown,143.0,162.6,144.78,,21.23,12.15,171.02,177.53,1,1,0,0,0,0,0,0,0,,
10,0.334,0,0,transition,unknown,143.62,161.49,144.67,,22.27,11.35,169.77,179.83,1,1,0,0,0,0,0,0,0,,
11,0.367,0,0,transition,unknown,140.26,163.15,144.27,,20.31,14.37,170.72,178.52,1,1,0,0,0,0,0,0,0,,
12,0.4,0,0,transition,unknown,133.03,154.45,143.33,,22.76,14.25,168.5,178.79,1,1,0,0,0,0,0,0,0,,
13,0.434,0,0,transition,unknown,128.07,153.76,141.62,,23.45,15.58,169.5,178.79,1,1,0,0,0,0,0,0,0,,
14,0.467,0,0,transition,unknown,128.03,139.52,140.14,139.52,19.17,12.94,168.92,179.13,1,1,0,0,0,0,0,0,0,,
15,0.501,0,0,transition,transition,111.9,128.25,137.35,133.89,16.49,12.03,169.61,178.24,1,1,0,0,0,0,0,0,0,,
16,0.534,0,0,transition,transition,98.85,122.5,133.54,130.09,20.21,13.21,169.77,178.44,1,1,0,0,0,0,0,0,0,,
17,0.567,0,0,transition,transition,79.46,117.79,128.14,127.02,21.44,13.05,169.71,178.26,1,1,0,0,0,0,0,0,0,,
18,0.601,0,0,transition,transition,67.62,117.81,121.77,125.18,22.05,14.3,168.89,179.48,1,1,0,0,0,0,0,0,0,,
19,0.634,0,0,transition,transition,58.06,99.56,114.45,120.91,22.92,10.33,169.58,179.65,1,1,0,0,0,0,0,0,0,,
20,0.667,0,0,transition,transition,45.72,86.18,106.47,115.95,17.25,9.8,169.85,179.47,1,1,0,0,0,0,0,0,0,,
21,0.701,0,0,up,transition,42.95,79.12,98.13,111.34,18.5,10.92,169.48,180.0,1,1,0,0,0,0,0,0,0,,
22,0.734,0,0,up,transition,37.06,75.91,89.25,107.41,18.72,13.77,169.22,179.65,1,1,0,0,0,0,0,0,0,,
23,0.767,0,0,up,transition,34.43,73.23,80.43,103.99,19.0,12.4,168.49,179.3,1,1,0,0,0,0,0,0,0,,
24,0.801,0,0,up,transition,28.98,63.72,71.76,103.99,21.78,15.23,169.74,179.82,1,1,0,0,0,0,0,0,0,,
25,0.834,0,0,up,transition,15.22,62.8,62.36,103.99,24.59,14.31,169.71,179.11,0,1,0,0,0,0,0,0,0,,
26,0.868,0,0,up,transition,14.56,55.59,52.9,103.99,22.32,18.54,169.51,180.0,1,0,0,0,0,0,0,0,0,,
27,0.901,0,0,up,transition,10.63,50.05,44.46,103.99,20.15,19.95,170.48,178.91,1,0,0,0,0,0,0,0,0,,
28,0.934,0,0,up,transition,7.16,46.71,36.82,103.99,18.85,21.95,171.1,177.83,1,0,0,0,0,0,0,0,0,,
29,0.968,0,0,up,transition,10.89,42.73,31.11,103.99,19.27,21.74,171.51,176.91,1,0,0,0,0,0,0,0,0,,
30,1.001,0,0,up,transition,9.09,42.31,26.23,98.38,19.59,21.88,171.24,176.87,1,0,0,0,0,0,0,0,0,,
31,1.034,0,0,up,transition,6.63,39.97,21.94,98.38,18.89,21.67,171.32,176.87,1,0,0,0,0,0,0,0,0,,
