frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,176.46,173.75,,,15.72,16.39,168.4,168.43,1,1,0,0,0,0,0,0,0,,
2,0.067,0,0,unknown,unknown,173.45,175.98,,,16.14,14.47,169.82,169.56,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,unknown,unknown,172.08,176.4,,,15.78,13.13,169.85,169.8,1,1,0,0,0,0,0,0,0,,
4,0.133,0,0,unknown,unknown,174.11,178.21,,,15.11,13.61,170.49,169.5,1,1,0,0,0,0,0,0,0,,
5,0.167,0,0,unknown,unknown,175.41,179.64,,,14.48,14.05,170.69,169.46,1,1,0,0,0,0,0,0,0,,
6,0.2,0,0,unknown,unknown,175.85,176.73,,,14.35,13.99,170.67,170.25,1,1,0,0,0,0,0,0,0,,
7,0.234,0,0,unknown,unknown,175.93,179.84,,,14.66,13.44,171.11,170.14,1,1,0,0,0,0,0,0,0,,
8,0.267,0,0,unknown,unknown,176.56,176.4,,,14.49,12.98,171.17,170.01,1,1,0,0,0,0,0,0,0,,
9,0.3,0,0,unknown,unknown,176.6,177.26,,,14.99,13.62,171.32,169.59,1,1,0,0,0,0,0,0,0,,
10,0.334,0,0,unknown,unknown,177.67,179.3,,,15.16,13.72,171.15,170.03,1,1,0,0,0,0,0,0,0,,
11,0.367,0,0,unknown,unknown,179.63,179.44,,,14.87,13.65,171.15,169.9,1,1,0,0,0,0,0,0,0,,
12,0.4,0,0,unknown,unknown,179.29,175.28,,,14.56,14.46,171.26,169.66,1,1,0,0,0,0,0,0,0,,
13,0.434,0,0,unknown,unknown,177.16,178.49,,178.49,14.28,16.68,171.6,170.31,1,1,0,0,0,0,0,0,0,,
14,0.467,0,0,unknown,down,177.61,178.52,177.61,178.5,16.49,15.39,170.13,171.25,1,1,0,0,0,0,0,0,0,,
15,0.501,0,0,down,down,174.63,177.59,176.12,178.2,15.05,15.34,171.13,171.34,1,1,0,0,0,0,0,0,0,,
16,0.534,0,0,down,down,175.0,177.37,175.75,177.99,17.77,14.96,169.71,173.49,1,1,0,0,0,0,0,0,0,,
17,0.567,0,0,down,down,171.74,169.03,174.75,176.2,16.65,14.5,169.87,172.12,1,1,0,0,0,0,0,0,0,,
18,0.601,0,0,down,down,173.28,165.8,174.45,174.47,17.97,16.83,170.27,170.87,1,1,0,0,0,0,0,0,0,,
19,0.634,0,0,down,down,170.06,166.69,173.72,173.36,17.82,19.68,170.89,170.21,1,1,0,0,0,0,0,0,0,,
20,0.667,0,0,down,down,165.76,160.85,172.58,171.79,18.1,19.96,170.63,170.45,1,1,0,0,0,0,0,0,0,,
21,0.701,0,0,down,down,145.73,153.1,169.23,169.71,17.4,20.19,170.69,170.95,1,1,0,0,0,0,0,0,0,,
22,0.734,0,0,transition,transition,91.85,101.01,160.63,162.84,13.72,18.04,171.07,171.38,1,1,0,0,0,0,0,0,0,,
23,0.767,0,0,transition,transition,62.89,70.84,150.86,154.48,12.19,14.04,170.87,171.57,1,1,0,0,0,0,0,0,0,,
24,0.801,0,0,transition,transition,29.91,40.17,139.86,144.96,16.16,16.05,170.91,171.42,1,1,0,0,0,0,0,0,0,,
25,0.834,0,0,up,up,22.1,24.62,130.05,132.13,19.17,15.3,170.54,171.28,1,1,0,0,0,0,0,0,0,,
26,0.868,0,0,up,up,13.36,16.99,116.36,118.67,20.92,16.45,171.1,171.83,1,1,0,0,0,0,0,0,0,,
27,0.901,0,0,up,up,13.44,18.68,102.93,105.43,22.31,16.83,171.98,172.25,0,1,0,0,0,0,0,0,0,,
28,0.934,0,0,up,up,14.88,20.01,89.58,92.32,23.38,18.16,172.89,171.65,0,1,0,0,0,0,0,0,0,,
29,0.968,0,0,up,up,9.67,18.5,76.08,79.77,23.99,17.17,172.57,172.94,0,1,0,0,0,0,0,0,0,,
30,1.001,0,0,up,up,11.0,15.53,62.55,67.25,24.3,21.99,172.44,172.37,0,1,0,0,0,0,0,0,0,,
31,1.034,0,0,up,up,12.29,17.38,49.41,54.81,24.83,22.33,172.6,171.92,0,1,0,0,0,0,0,0,0,,
32,1.068,0,0,up,up,13.4,15.76,36.71,42.72,23.37,22.31,172.83,172.38,0,1,0,0,0,0,0,0,0,,
33,1.101,0,0,up,up,12.94,13.45,25.64,31.08,23.86,22.47,172.7,172.57,0,0,0,0,0,0,0,0,0,,
34,1.134,0,0,up,up,13.37,13.62,19.1,23.8,23.89,21.68,172.41,172.57,0,1,0,0,0,0,0,0,0,,
35,1.168,0,0,up,up,13.23,13.49,14.97,19.02,23.71,21.92,172.14,173.14,0,1,0,0,0,0,0,0,0,,
36,1.201,0,0,up,up,13.36,14.21,13.59,16.85,24.03,21.42,171.94,173.1,0,1,0,0,0,0,0,0,0,,
37,1.235,0,0,up,up,14.1,16.2,12.92,16.15,24.0,21.08,172.36,173.49,0,1,0,0,0,0,0,0,0,,
38,1.268,0,0,up,up,13.41,14.2,12.92,15.92,23.3,21.56,172.73,172.64,0,1,0,0,0,0,0,0,0,,
39,1.301,0,0,up,up,12.79,15.65,12.87,15.67,22.8,21.04,172.38,172.94,0,1,0,0,0,0,0,0,0,,
40,1.335,0,0,up,up,12.75,18.45,12.69,15.54,22.93,20.79,172.31,172.92,0,1,0,0,0,0,0,0,0,,
41,1.368,0,0,up,up,11.0,17.87,12.8,15.48,21.2,18.97,172.42,171.49,1,1,0,0,0,0,0,0,0,,
42,1.401,0,0,up,up,12.47,17.85,12.93,15.68,20.49,19.09,172.36,171.96,1,1,0,0,0,0,0,0,0,,
43,1.435,0,0,up,up,13.73,17.32,13.05,15.67,20.95,14.65,172.36,172.23,1,1,0,0,0,0,0,0,0,,
44,1.468,0,0,up,up,15.96,24.01,13.26,16.36,19.36,14.52,172.46,171.96,1,1,0,0,0,0,0,0,0,,
45,1.502,0,0,up,up,18.2,28.02,13.7,17.57,17.95,13.91,172.05,172.04,1,1,0,0,0,0,0,0,0,,
46,1.535,0,0,up,up,18.49,33.9,14.12,19.26,16.13,13.96,171.42,171.8,1,1,0,0,0,0,0,0,0,,
47,1.568,0,0,up,up,19.67,35.68,14.66,21.11,17.12,12.88,170.8,171.66,1,1,0,0,0,0,0,0,0,,
48,1.602,0,0,up,up,22.08,42.46,15.39,23.47,14.38,13.52,170.65,171.85,1,1,0,0,0,0,0,0,0,,
49,1.635,0,0,up,up,37.43,55.67,17.33,26.76,11.21,13.15,170.97,171.49,1,1,0,0,0,0,0,0,0,,
50,1.668,0,0,up,up,66.04,73.37,21.72,31.69,11.63,13.56,170.97,171.47,1,1,0,0,0,0,0,0,0,,
51,1.702,0,0,transition,transition,104.2,97.39,29.34,38.5,13.36,16.34,171.06,171.05,1,1,0,0,0,0,0,0,0,,
52,1.735,0,0,transition,transition,129.65,127.74,39.08,47.61,16.0,17.99,170.54,171.14,1,1,0,0,0,0,0,0,0,,
53,1.768,0,0,transition,transition,152.88,133.9,50.9,57.28,15.92,17.95,170.65,170.11,1,1,0,0,0,0,0,0,0,,
54,1.802,0,0,transition,transition,164.88,149.38,63.6,68.24,15.29,17.33,170.89,169.54,1,1,0,0,0,0,0,0,0,,
55,1.835,0,0,transition,transition,168.94,154.94,76.54,79.71,15.28,16.51,171.28,169.86,1,1,0,0,0,0,0,0,0,,
56,1.869,1,0,down,transition,172.5,160.68,,91.09,14.81,14.93,171.48,170.41,1,1,1,0,1,0,0,0,1,,
57,1.902,1,1,down,down,173.27,168.6,173.27,,16.85,14.45,170.12,172.94,1,1,1,1,1,1,0,0,2,,
58,1.935,1,1,down,down,174.74,169.6,174.01,169.6,15.96,14.21,169.85,172.39,1,1,1,1,1,1,0,0,2,,
59,1.969,1,1,down,down,176.87,171.3,174.96,170.45,15.22,16.5,170.27,170.27,1,1,1,1,1,1,0,0,2,,
60,2.002,1,1,down,down,179.51,171.36,176.1,170.75,15.52,15.61,170.19,170.84,1,1,1,1,1,1,0,0,2,,
61,2.035,1,1,down,down,179.97,172.8,176.1,170.75,14.33,16.29,170.76,170.19,1,1,1,1,1,1,0,0,2,,
62,2.069,1,1,down,down,177.03,177.81,176.1,170.75,14.98,16.67,171.1,169.11,1,1,1,1,1,1,0,0,2,,
63,2.102,1,1,down,down,176.67,178.61,176.1,170.75,14.95,16.13,170.83,169.22,1,1,1,1,1,1,0,0,2,,
64,2.135,1,1,down,down,176.18,178.41,176.1,170.75,15.2,15.62,170.81,169.17,1,1,1,1,1,1,0,0,2,,
65,2.169,1,1,down,down,176.75,179.63,176.1,170.75,15.29,15.65,170.63,169.61,1,1,1,1,1,1,0,0,2,,
66,2.202,1,1,down,down,174.82,179.92,176.1,170.75,15.97,15.29,170.27,170.16,1,1,1,1,1,1,0,0,2,,
67,2.236,1,1,down,down,174.34,179.78,176.1,170.75,15.93,15.84,170.26,169.5,1,1,1,1,1,1,0,0,2,,
68,2.269,1,1,down,down,172.81,179.79,176.1,170.75,16.35,15.52,170.31,169.73,1,1,1,1,1,1,0,0,2,,
69,2.302,1,1,down,down,172.74,179.17,176.1,170.75,16.13,15.3,170.31,170.0,1,1,1,1,1,1,0,0,2,,
70,2.336,1,1,down,down,172.8,177.87,176.1,170.75,16.17,14.67,170.22,170.36,1,1,1,1,1,1,0,0,2,,
71,2.369,1,1,down,down,172.31,176.32,176.1,170.75,16.07,14.94,170.54,170.33,1,1,1,1,1,1,0,0,2,,
72,2.402,1,1,down,down,171.0,176.38,176.1,170.75,16.17,15.08,170.61,170.18,1,1,1,1,1,1,0,0,2,,
73,2.436,1,1,down,down,170.84,175.34,176.1,170.75,16.27,14.84,170.4,170.17,1,1,1,1,1,1,0,0,2,,
74,2.469,1,1,down,down,170.45,175.27,176.1,170.75,15.87,15.16,170.51,169.57,1,1,1,1,1,1,0,0,2,,
75,2.502,1,1,down,down,170.81,173.41,176.1,170.75,15.37,15.36,170.95,169.37,1,1,1,1,1,1,0,0,2,,
76,2.536,1,1,down,down,170.47,170.7,176.1,170.75,15.37,15.34,170.95,169.24,1,1,1,1,1,1,0,0,2,,
77,2.569,1,1,down,down,170.61,170.57,176.1,170.75,15.32,15.06,170.86,169.29,1,1,1,1,1,1,0,0,2,,
78,2.603,1,1,down,down,169.74,170.48,176.1,170.75,15.46,15.03,170.72,169.56,1,1,1,1,1,1,0,0,2,,
79,2.636,1,1,down,down,168.52,167.99,176.1,170.75,15.51,14.61,170.86,169.94,1,1,1,1,1,1,0,0,2,,
80,2.669,1,1,down,down,168.31,166.84,176.1,170.75,15.74,14.25,170.63,170.29,1,1,1,1,1,1,0,0,2,,
81,2.703,1,1,down,down,169.49,169.7,176.1,170.75,16.26,14.0,170.25,170.97,1,1,1,1,1,1,0,0,2,,
82,2.736,1,1,down,down,169.46,171.53,176.1,170.75,16.16,13.89,170.16,170.63,1,1,1,1,1,1,0,0,2,,
83,2.769,1,1,down,down,169.88,171.67,176.1,170.75,15.92,14.47,170.6,170.4,1,1,1,1,1,1,0,0,2,,
84,2.803,1,1,down,down,171.55,172.98,176.1,170.75,15.56,14.6,170.4,169.95,1,1,1,1,1,1,0,0,2,,
85,2.836,1,1,down,down,171.23,174.18,176.1,170.75,15.98,14.65,170.29,170.27,1,1,1,1,1,1,0,0,2,,
86,2.87,1,1,down,down,174.16,174.76,176.1,170.75,15.48,15.49,170.36,169.74,1,1,1,1,1,1,0,0,2,,
87,2.903,1,1,down,down,175.82,176.96,176.1,170.75,14.8,15.27,171.0,170.23,1,1,1,1,1,1,0,0,2,,
88,2.936,1,1,down,down,177.53,177.11,176.1,170.75,14.68,14.95,170.69,171.31,1,1,1,1,1,1,0,0,2,,
89,2.97,1,1,down,down,178.55,174.48,176.1,170.75,14.47,16.7,170.52,170.45,1,1,1,1,1,1,0,0,2,,
90,3.003,1,1,down,down,179.03,176.61,176.1,170.75,13.72,16.6,171.13,170.49,1,1,1,1,1,1,0,0,2,,
91,3.036,1,1,down,down,178.96,179.16,176.1,170.75,13.64,16.93,170.54,170.82,1,1,1,1,1,1,0,0,2,,
92,3.07,1,1,down,down,177.85,179.57,176.1,172.96,14.37,17.94,170.45,170.93,1,1,1,1,1,1,0,0,2,,
93,3.103,1,1,down,down,175.74,178.57,176.03,174.08,15.81,17.28,169.23,171.83,1,1,1,1,1,1,0,0,2,,
94,3.136,1,1,down,down,171.17,179.62,175.22,175.0,14.66,17.12,169.12,173.6,1,1,1,1,1,1,0,0,2,,
95,3.17,1,1,down,down,165.81,175.5,173.87,175.08,14.22,15.96,169.28,174.02,1,1,1,1,1,1,0,0,2,,
96,3.203,1,1,down,down,168.56,170.01,173.21,174.44,13.98,17.47,170.38,172.52,1,1,1,1,1,1,0,0,2,,
97,3.237,1,1,down,down,162.6,161.42,172.03,173.0,13.73,20.4,170.8,170.49,1,1,1,1,1,1,0,0,2,,
