frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,116.54,127.96,116.54,,8.32,1.33,175.55,178.34,1,1,0,0,0,0,0,0,0,,
2,0.067,0,0,transition,unknown,110.04,121.02,113.29,,12.1,2.97,172.48,178.67,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,transition,unknown,108.25,114.05,111.61,,11.35,2.0,171.42,180.0,1,1,0,0,0,0,0,0,0,,
4,0.133,0,0,transition,unknown,103.47,113.89,109.57,,10.63,2.12,172.15,177.75,1,1,0,0,0,0,0,0,0,,
5,0.167,0,0,transition,unknown,96.31,106.51,106.92,,10.89,2.31,171.16,176.63,1,1,0,0,0,0,0,0,0,,
6,0.2,0,0,transition,unknown,94.62,98.19,104.87,,8.69,4.03,172.45,176.32,1,1,0,0,0,0,0,0,0,,
7,0.234,0,0,transition,unknown,91.16,96.29,102.91,,7.55,4.69,172.68,177.4,1,1,0,0,0,0,0,0,0,,
8,0.267,0,0,transition,unknown,85.04,92.41,100.68,,6.74,6.11,172.8,177.36,1,1,0,0,0,0,0,0,0,,
9,0.3,0,0,transition,unknown,78.86,79.72,98.26,,6.56,7.1,173.21,176.88,1,1,0,0,0,0,0,0,0,,
10,0.334,0,0,transition,unknown,74.32,80.64,95.86,,5.16,7.6,173.23,176.29,1,1,0,0,0,0,0,0,0,,
11,0.367,0,0,transition,unknown,68.67,88.79,93.39,,3.95,15.59,173.3,175.63,1,1,0,0,0,0,0,0,0,,
12,0.4,0,0,transition,unknown,63.43,82.67,90.89,,2.71,18.3,172.75,175.11,1,0,0,0,0,0,0,0,0,,
13,0.434,0,0,transition,unknown,59.31,86.54,86.12,,2.63,20.67,172.55,175.02,1,0,0,0,0,0,0,0,0,,
14,0.467,0,0,transition,unknown,55.53,95.44,81.58,,3.32,23.11,171.44,175.33,1,0,0,0,0,0,0,0,0,,
15,0.5,0,0,transition,unknown,53.03,93.97,76.98,,0.95,19.17,171.41,174.9,1,1,0,0,0,0,0,0,0,,
16,0.534,0,0,transition,unknown,48.6,79.7,72.41,,1.06,12.25,171.93,175.7,1,1,0,0,0,0,0,0,0,,
17,0.567,0,0,up,unknown,46.77,87.58,68.28,,0.55,14.14,171.25,174.98,1,1,0,0,0,0,0,0,0,,
18,0.601,0,0,up,unknown,45.45,74.89,64.18,,0.21,13.83,170.56,174.61,1,1,0,0,0,0,0,0,0,,
19,0.634,0,0,up,unknown,43.81,79.77,60.24,,1.15,18.47,169.89,175.32,1,0,0,0,0,0,0,0,0,,
20,0.667,0,0,up,unknown,40.86,75.22,56.56,,1.76,19.0,170.77,175.39,1,0,0,0,0,0,0,0,0,,
21,0.701,0,0,up,unknown,40.37,73.39,53.35,,2.21,11.81,170.49,175.25,1,1,0,0,0,0,0,0,0,,
22,0.734,0,0,up,unknown,40.67,70.41,50.54,,3.5,13.78,171.0,174.82,1,1,0,0,0,0,0,0,0,,
23,0.767,0,0,up,unknown,40.59,77.94,48.2,,3.25,13.64,171.03,175.2,1,1,0,0,0,0,0,0,0,,
24,0.801,0,0,up,unknown,38.76,66.76,46.15,,2.25,11.26,171.53,174.63,1,1,0,0,0,0,0,0,0,,
25,0.834,0,0,up,unknown,41.16,91.1,44.64,,2.15,24.55,171.24,175.24,1,0,0,0,0,0,0,0,0,,
26,0.867,0,0,up,unknown,41.95,94.45,43.5,,3.07,24.99,172.27,176.2,1,0,0,0,0,0,0,0,0,,
27,0.901,0,0,up,unknown,43.99,83.94,42.75,,2.37,17.87,172.3,175.67,1,1,0,0,0,0,0,0,0,,
28,0.934,0,0,up,unknown,46.08,96.88,42.54,,2.46,24.08,172.47,176.07,1,0,0,0,0,0,0,0,0,,
29,0.968,0,0,up,unknown,50.41,92.3,42.84,,1.9,15.55,172.55,176.22,1,1,0,0,0,0,0,0,0,,
30,1.001,0,0,transition,unknown,52.73,75.14,43.45,,0.97,7.37,173.42,176.77,1,1,0,0,0,0,0,0,0,,
31,1.034,0,0,transition,unknown,55.24,82.8,44.4,,0.19,8.83,173.22,176.15,1,1,0,0,0,0,0,0,0,,
32,1.068,0,0,transition,unknown,61.46,72.16,46.12,,0.01,8.75,172.72,175.62,1,1,0,0,0,0,0,0,0,,
33,1.101,0,0,transition,unknown,64.1,74.73,48.09,,1.69,10.97,172.6,175.59,1,1,0,0,0,0,0,0,0,,
34,1.134,0,0,transition,unknown,68.87,86.05,50.44,,2.12,14.24,173.29,176.17,1,1,0,0,0,0,0,0,0,,
35,1.168,0,0,transition,unknown,74.63,90.35,53.28,,1.14,14.01,173.64,176.17,1,1,0,0,0,0,0,0,0,,
36,1.201,0,0,transition,unknown,78.28,101.61,56.57,,2.66,10.71,173.52,176.26,1,1,0,0,0,0,0,0,0,,
37,1.234,0,0,transition,unknown,80.93,86.76,59.89,,3.39,6.07,173.92,176.28,1,1,0,0,0,0,0,0,0,,
