frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,63.53,43.72,63.53,43.72,8.03,11.58,174.63,179.07,1,1,0,0,0,0,0,0,0,,
2,0.067,0,0,transition,unknown,72.69,54.0,68.11,48.86,5.79,12.76,179.38,176.29,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,transition,transition,73.58,56.0,69.93,51.24,5.22,14.71,179.7,176.6,1,1,0,0,0,0,0,0,0,,
4,0.133,0,0,transition,transition,74.22,63.62,71.01,54.33,4.66,15.04,179.7,176.27,1,1,0,0,0,0,0,0,0,,
5,0.167,0,0,transition,transition,76.7,67.07,71.01,56.88,4.86,8.58,180.0,176.56,1,1,0,0,0,0,0,0,0,,
6,0.2,0,0,transition,transition,83.21,77.36,71.01,60.3,2.83,11.76,179.69,175.44,1,1,0,0,0,0,0,0,0,,
7,0.234,0,0,transition,transition,88.88,82.41,74.58,63.45,2.82,12.16,179.69,175.44,1,1,0,0,0,0,0,0,0,,
8,0.267,0,0,transition,transition,91.68,76.16,77.43,65.04,2.54,13.02,180.0,175.11,1,1,0,0,0,0,0,0,0,,
9,0.3,0,0,transition,transition,90.98,72.38,77.43,65.86,1.24,12.39,179.39,175.11,1,1,0,0,0,0,0,0,0,,
10,0.334,0,0,transition,transition,101.32,79.13,80.84,67.18,1.26,14.27,180.0,174.78,1,1,0,0,0,0,0,0,0,,
11,0.367,0,0,transition,transition,103.82,82.86,83.71,68.61,1.91,16.73,179.38,175.74,1,1,0,0,0,0,0,0,0,,
12,0.4,0,0,transition,transition,107.59,96.23,86.37,70.91,3.12,14.9,179.37,175.31,1,1,0,0,0,0,0,0,0,,
13,0.434,0,0,transition,transition,108.43,108.24,88.57,76.29,0.94,14.75,179.06,175.55,1,1,0,0,0,0,0,0,0,,
14,0.467,0,0,transition,transition,108.62,115.93,90.4,81.45,0.34,13.46,179.07,175.91,1,1,0,0,0,0,0,0,0,,
15,0.501,0,0,transition,transition,113.75,104.31,92.34,85.47,0.58,14.56,178.77,176.27,1,1,0,0,0,0,0,0,0,,
16,0.534,0,0,transition,transition,124.68,103.24,97.44,88.78,3.03,16.71,178.17,176.25,1,1,0,0,0,0,0,0,0,,
17,0.567,0,0,transition,transition,132.63,108.02,102.43,92.19,5.75,17.27,177.87,177.24,1,0,0,0,0,0,0,0,0,,
18,0.601,0,0,transition,transition,136.42,110.66,107.67,94.96,4.79,18.75,178.79,175.76,1,0,0,0,0,0,0,0,0,,
19,0.634,0,0,transition,transition,137.01,111.39,112.9,97.38,4.83,18.8,178.79,175.72,1,0,0,0,0,0,0,0,0,,
20,0.667,0,0,transition,transition,138.58,115.18,117.04,100.63,4.48,18.65,179.1,175.51,1,1,0,0,0,0,0,0,0,,
21,0.701,0,0,transition,transition,142.19,122.4,121.25,104.8,3.26,18.09,179.7,175.46,1,1,0,0,0,0,0,0,0,,
22,0.734,0,0,transition,transition,144.95,124.93,124.89,108.62,1.98,18.58,178.48,174.86,1,1,0,0,0,0,0,0,0,,
23,0.767,0,0,transition,transition,145.14,128.66,128.33,112.43,1.85,18.85,179.1,173.63,1,1,0,0,0,0,0,0,0,,
24,0.801,0,0,transition,transition,145.08,126.86,131.46,114.99,1.94,20.07,179.7,174.2,1,0,0,0,0,0,0,0,0,,
25,0.834,0,0,transition,transition,144.46,127.56,134.46,116.6,0.59,19.78,179.41,174.62,1,0,0,0,0,0,0,0,0,,
26,0.868,0,0,transition,transition,143.03,128.03,137.33,117.6,0.03,19.78,179.41,174.26,1,1,0,0,0,0,0,0,0,,
27,0.901,0,0,transition,transition,145.64,128.59,139.98,119.63,0.27,20.34,179.7,172.72,1,1,0,0,0,0,0,0,0,,
28,0.934,0,0,transition,transition,147.96,127.74,141.92,121.67,1.7,19.38,178.81,173.69,1,1,0,0,0,0,0,0,0,,
29,0.968,0,0,transition,transition,147.35,125.89,143.15,123.16,1.69,20.11,178.8,173.33,1,1,0,0,0,0,0,0,0,,
30,1.001,0,0,transition,transition,145.71,121.93,143.92,124.1,3.95,17.58,179.7,175.49,1,1,0,0,0,0,0,0,0,,
31,1.034,0,0,transition,transition,141.04,116.84,144.26,124.55,6.39,17.11,179.08,176.33,1,1,0,0,0,0,0,0,0,,
32,1.068,0,0,transition,transition,131.68,105.78,143.69,123.77,5.44,18.5,179.38,174.14,1,1,0,0,0,0,0,0,0,,
33,1.101,0,0,transition,transition,122.05,115.24,142.01,123.17,4.62,13.71,179.08,175.34,1,1,0,0,0,0,0,0,0,,
34,1.134,0,0,transition,transition,121.9,116.13,140.09,122.44,4.89,12.06,179.37,175.5,1,1,0,0,0,0,0,0,0,,
35,1.168,0,0,transition,transition,109.99,101.87,137.16,120.2,1.18,13.71,179.37,173.42,1,1,0,0,0,0,0,0,0,,
36,1.201,0,0,transition,transition,102.95,87.8,133.65,116.95,0.64,13.41,178.15,172.87,1,1,0,0,0,0,0,0,0,,
37,1.235,0,0,transition,transition,88.34,126.28,128.97,116.84,1.44,9.76,179.69,173.25,1,1,0,0,0,0,0,0,0,,
38,1.268,0,0,transition,transition,85.35,97.84,128.97,114.33,5.58,10.67,179.68,173.83,1,1,0,0,0,0,0,0,0,,
39,1.301,0,0,transition,transition,83.84,89.2,128.97,114.33,3.28,9.91,178.7,174.14,1,1,0,0,0,0,0,0,0,,
40,1.335,0,0,transition,transition,83.38,79.39,124.0,110.23,5.54,10.4,179.35,173.73,1,1,0,0,0,0,0,0,0,,
41,1.368,0,0,transition,transition,69.31,71.22,124.0,105.52,1.28,10.32,179.36,174.17,1,1,0,0,0,0,0,0,0,,
42,1.401,0,0,transition,transition,59.69,51.74,116.84,99.34,4.9,13.37,179.37,172.8,1,1,0,0,0,0,0,0,0,,
43,1.435,0,0,transition,transition,55.53,38.76,109.13,92.41,3.95,12.48,180.0,172.72,1,1,0,0,0,0,0,0,0,,
44,1.468,0,0,transition,transition,54.28,38.88,101.38,85.91,2.56,12.63,179.38,172.05,1,1,0,0,0,0,0,0,0,,
45,1.502,0,0,transition,up,44.77,29.47,101.38,79.55,0.23,9.98,178.43,174.07,1,1,0,0,0,0,0,0,0,,
46,1.535,0,0,transition,up,37.3,16.33,101.38,71.31,3.63,8.09,178.42,174.38,1,1,0,0,0,0,0,0,0,,
47,1.568,0,0,transition,up,29.12,19.27,101.38,63.24,2.07,8.22,176.87,173.35,1,1,0,0,0,0,0,0,0,,
48,1.602,0,0,transition,up,29.68,19.23,101.38,56.35,0.04,5.29,177.55,172.18,1,1,0,0,0,0,0,0,0,,
49,1.635,0,0,transition,up,29.75,18.14,101.38,50.55,1.25,5.79,178.17,172.18,1,1,0,0,0,0,0,0,0,,
50,1.668,0,0,transition,up,31.5,19.83,101.38,41.68,2.49,5.84,178.18,171.65,1,1,0,0,0,0,0,0,0,,
51,1.702,0,0,transition,up,31.5,18.62,101.38,35.07,0.5,6.82,177.87,173.18,1,1,0,0,0,0,0,0,0,,
52,1.735,0,0,transition,up,35.77,18.06,101.38,29.96,2.03,7.14,178.78,174.83,1,1,0,0,0,0,0,0,0,,
53,1.768,0,0,transition,up,40.21,18.97,101.38,25.61,1.64,8.43,179.09,174.5,1,1,0,0,0,0,0,0,0,,
