frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_elbow_alignment_angle_deg,right_elbow_alignment_angle_deg,left_true_torso_angle_deg,right_true_torso_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,162.31,165.52,162.31,,3.62,7.0,176.19,175.52,1,1,0,0,0,0,0,0,0,,
2,0.067,0,0,down,unknown,163.41,161.55,162.86,,1.51,5.17,178.68,175.48,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,down,unknown,163.56,160.44,163.09,,1.27,5.11,178.92,175.11,1,1,0,0,0,0,0,0,0,,
4,0.133,0,0,down,unknown,163.87,161.47,163.29,,1.58,4.65,178.42,175.35,1,1,0,0,0,0,0,0,0,,
5,0.167,0,0,down,unknown,162.17,162.12,163.06,,2.19,5.14,178.56,175.51,1,1,0,0,0,0,0,0,0,,
6,0.2,0,0,down,unknown,162.66,163.11,163.0,,2.2,5.19,178.18,175.68,1,1,0,0,0,0,0,0,0,,
7,0.233,0,0,down,unknown,161.74,161.11,162.82,,2.35,4.58,178.21,176.06,1,1,0,0,0,0,0,0,0,,
8,0.267,0,0,down,unknown,162.04,160.71,162.72,,2.23,4.58,177.96,176.06,1,1,0,0,0,0,0,0,0,,
9,0.3,0,0,down,unknown,161.82,160.93,162.62,,2.12,4.69,178.07,176.17,1,1,0,0,0,0,0,0,0,,
10,0.333,0,0,down,unknown,161.74,161.65,162.53,,2.1,5.0,178.08,176.07,1,1,0,0,0,0,0,0,0,,
11,0.367,0,0,down,unknown,162.29,160.23,162.51,,2.05,4.84,177.95,175.79,1,1,0,0,0,0,0,0,0,,
12,0.4,0,0,down,unknown,162.21,160.15,162.49,,2.17,4.7,177.83,176.15,1,1,0,0,0,0,0,0,0,,
