frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_torso_arm_angle_deg,right_torso_arm_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.042,0,0,unknown,unknown,159.49,163.63,159.49,163.63,7.24,12.6,1,1,0,0,0,0,0,0,0,,
2,0.083,0,0,transition,down,159.2,167.89,159.34,165.76,7.45,10.53,1,1,0,0,0,0,0,0,0,,
3,0.125,0,0,transition,down,160.5,167.81,159.73,166.44,7.74,10.78,1,1,0,0,0,0,0,0,0,,
4,0.167,0,0,down,down,161.34,168.47,,166.95,7.74,10.51,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
5,0.209,0,0,down,down,160.35,168.25,160.35,167.21,7.77,10.83,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
6,0.25,0,0,down,down,160.06,167.12,160.21,167.2,8.09,10.54,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
7,0.292,0,0,down,down,159.63,166.55,160.01,167.1,8.69,11.15,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
8,0.334,0,0,transition,down,156.74,166.27,159.19,167.0,7.87,10.7,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
9,0.375,0,0,transition,down,154.81,164.14,158.32,166.68,8.21,10.5,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
10,0.417,0,0,transition,down,150.38,163.69,156.99,166.38,7.94,9.74,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
11,0.459,0,0,transition,down,150.38,162.57,156.05,166.04,8.86,8.78,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
12,0.5,0,0,transition,down,145.47,161.85,154.73,165.69,8.58,8.59,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
13,0.542,0,0,transition,down,134.72,153.49,152.5,164.84,7.15,10.18,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
14,0.584,0,0,transition,transition,120.34,150.76,149.29,163.42,6.6,10.23,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
15,0.626,0,0,transition,transition,111.95,153.7,145.89,162.24,6.07,8.7,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
16,0.667,0,0,transition,transition,95.43,139.57,141.69,159.83,5.01,8.12,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
17,0.709,0,0,transition,transition,80.91,113.77,135.07,155.29,4.52,7.0,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
18,0.751,0,0,transition,transition,67.79,52.29,127.38,145.72,3.72,5.96,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
19,0.792,0,0,transition,transition,53.19,17.22,118.51,133.28,4.04,6.84,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
20,0.834,0,0,transition,up,40.82,6.18,108.85,119.94,6.45,5.0,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
21,0.876,0,0,up,up,35.76,4.55,98.93,106.64,8.41,6.0,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
22,0.918,0,0,up,up,32.02,6.24,89.06,93.52,8.79,5.37,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
23,0.959,0,0,up,up,27.15,0.0,78.79,79.97,8.76,6.54,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
24,1.001,0,0,up,up,27.49,0.49,68.96,66.52,8.4,6.73,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
25,1.043,0,0,up,up,27.56,1.41,60.03,53.85,7.84,7.06,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
26,1.084,0,0,up,up,23.35,1.49,51.95,41.41,7.62,6.47,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
27,1.126,0,0,up,up,20.22,0.87,44.31,28.67,7.59,5.77,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
28,1.168,0,0,up,up,18.2,0.83,37.87,17.11,6.6,5.77,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
29,1.21,0,0,up,up,18.11,0.78,32.64,7.7,5.56,6.37,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
30,1.251,0,0,up,up,16.19,2.23,28.34,3.52,5.36,6.37,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
31,1.293,0,0,up,up,16.0,2.47,25.24,2.3,4.66,5.84,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
32,1.335,0,0,up,up,15.9,2.55,23.16,1.99,4.89,5.65,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
33,1.376,0,0,up,up,16.02,1.81,21.52,1.77,5.44,5.66,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
34,1.418,0,0,up,up,16.31,2.57,20.21,1.46,5.97,5.63,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
35,1.46,0,0,up,up,15.49,2.07,19.24,1.63,5.97,5.43,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
36,1.501,0,0,up,up,16.32,2.06,18.31,1.76,5.64,5.42,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
37,1.543,0,0,up,up,16.86,2.01,17.41,1.81,5.87,5.42,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
38,1.585,0,0,up,up,16.86,2.06,16.87,1.86,5.87,5.42,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
39,1.627,0,0,up,up,17.15,2.55,16.62,2.0,5.64,5.65,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
40,1.668,0,0,up,up,15.99,3.73,16.43,2.24,5.44,5.87,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
41,1.71,0,0,up,up,15.55,3.03,16.22,2.43,4.68,5.83,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
42,1.752,0,0,up,up,16.06,2.51,16.21,2.45,4.89,5.65,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
43,1.793,0,0,up,up,16.63,1.64,16.26,2.38,5.12,6.47,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
44,1.835,0,0,up,up,16.95,2.97,16.35,2.42,5.3,6.67,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
45,1.877,0,0,up,up,17.97,1.51,16.51,2.39,6.31,6.97,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
46,1.919,0,0,up,up,18.03,2.51,16.65,2.39,7.35,6.17,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
47,1.96,0,0,up,up,21.21,2.49,17.13,2.42,7.83,6.04,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
48,2.002,0,0,up,up,25.98,5.71,17.94,2.73,8.05,6.57,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
49,2.044,0,0,up,up,28.35,4.26,18.89,2.91,8.6,7.5,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
50,2.085,0,0,up,up,31.48,5.35,20.11,3.19,8.58,6.29,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
51,2.127,0,0,up,up,43.54,2.08,22.31,3.15,7.59,5.92,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
52,2.169,0,0,up,up,51.41,11.91,25.26,3.83,4.99,6.04,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
53,2.211,0,0,up,up,73.61,32.1,30.1,6.25,2.3,6.97,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
