frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_torso_arm_angle_deg,right_torso_arm_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,169.93,,169.93,,11.89,,1,1,0,0,0,0,0,0,0,,
2,0.067,0,0,down,unknown,170.97,,170.45,,10.98,,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,down,unknown,169.36,,170.09,,11.74,,1,1,0,0,0,0,0,0,0,,
4,0.133,0,0,down,unknown,166.84,,169.27,,11.24,,1,1,0,0,0,0,0,0,0,,
5,0.167,0,0,down,unknown,162.95,,168.01,,13.29,,1,1,0,0,0,0,0,0,0,,
6,0.2,0,0,down,unknown,163.11,,167.19,,11.98,,1,1,0,0,0,0,0,0,0,,
7,0.234,0,0,down,unknown,158.97,,166.02,,13.44,,1,1,0,0,0,0,0,0,0,,
8,0.267,0,0,transition,unknown,155.58,,164.71,,14.62,,1,1,0,0,0,0,0,0,0,,
9,0.3,0,0,transition,unknown,153.17,,163.43,,14.49,,1,1,0,0,0,0,0,0,0,,
10,0.334,0,0,transition,unknown,145.47,,161.64,,15.65,,1,1,0,0,0,0,0,0,0,,
11,0.367,0,0,transition,unknown,139.58,,159.63,,14.4,,1,1,0,0,0,0,0,0,0,,
12,0.4,0,0,transition,unknown,131.53,,157.29,,12.13,,1,1,0,0,0,0,0,0,0,,
13,0.434,0,0,transition,unknown,112.99,,152.54,,13.46,,1,1,0,0,0,0,0,0,0,,
14,0.467,0,0,transition,unknown,90.06,,145.8,,15.25,,1,1,0,0,0,0,0,0,0,,
15,0.501,0,0,transition,unknown,72.2,,137.7,,16.95,,1,1,0,0,0,0,0,0,0,,
16,0.534,0,0,transition,unknown,54.14,,128.31,,13.99,,1,1,0,0,0,0,0,0,0,,
17,0.567,0,0,transition,unknown,46.55,,118.61,,17.8,,1,1,0,0,0,0,0,0,0,,
18,0.601,0,0,up,unknown,35.05,,107.94,,14.93,,1,1,0,0,0,0,0,0,0,,
19,0.634,0,0,up,unknown,37.03,,97.78,,17.15,,1,1,0,0,0,0,0,0,0,,
20,0.667,0,0,up,unknown,36.27,,87.84,,14.68,,1,1,0,0,0,0,0,0,0,,
21,0.701,0,0,up,unknown,31.01,,77.66,,14.96,,1,1,0,0,0,0,0,0,0,,
22,0.734,0,0,up,unknown,22.59,,67.42,,15.78,,1,1,0,0,0,0,0,0,0,,
23,0.767,0,0,up,unknown,16.22,,57.14,,17.56,,1,1,0,0,0,0,0,0,0,,
24,0.801,0,0,up,unknown,11.0,,47.09,,17.67,,1,1,0,0,0,0,0,0,0,,
25,0.834,0,0,up,unknown,7.19,,38.28,,17.88,,1,1,0,0,0,0,0,0,0,,
26,0.868,0,0,up,unknown,8.06,,31.44,,16.62,,1,1,0,0,0,0,0,0,0,,
27,0.901,0,0,up,unknown,5.94,,25.92,,16.44,,1,1,0,0,0,0,0,0,0,,
28,0.934,0,0,up,unknown,6.26,38.67,21.93,38.67,17.11,14.51,1,1,0,0,0,0,0,0,0,,
