frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_torso_arm_angle_deg,right_torso_arm_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.017,0,0,unknown,unknown,88.63,,88.63,,1.51,,1,1,0,0,0,0,0,0,0,,
2,0.033,0,0,unknown,unknown,87.67,,88.15,,0.88,,1,1,0,0,0,0,0,0,0,,
3,0.05,0,0,transition,unknown,90.23,,88.84,,0.89,,1,1,0,0,0,0,0,0,0,,
4,0.067,0,0,transition,unknown,91.74,,89.57,,1.31,,1,1,0,0,0,0,0,0,0,,
5,0.083,0,0,transition,unknown,96.53,,90.96,,1.55,,1,1,0,0,0,0,0,0,0,,
6,0.1,0,0,transition,unknown,102.12,,92.82,,0.33,,1,1,0,0,0,0,0,0,0,,
7,0.117,0,0,transition,unknown,105.69,,94.66,,0.08,,1,1,0,0,0,0,0,0,0,,
8,0.133,0,0,transition,unknown,113.1,,96.96,,0.01,,1,1,0,0,0,0,0,0,0,,
9,0.15,0,0,transition,unknown,116.96,,99.19,,1.05,,1,1,0,0,0,0,0,0,0,,
10,0.167,0,0,transition,unknown,121.21,,101.39,,1.13,,1,1,0,0,0,0,0,0,0,,
11,0.184,0,0,transition,unknown,125.94,,103.62,,1.54,,1,1,0,0,0,0,0,0,0,,
12,0.2,0,0,transition,unknown,129.51,,105.78,,0.98,,1,1,0,0,0,0,0,0,0,,
13,0.217,0,0,transition,unknown,133.75,,109.54,,1.39,,1,1,0,0,0,0,0,0,0,,
14,0.234,0,0,transition,unknown,135.01,,113.48,,1.86,,1,1,0,0,0,0,0,0,0,,
15,0.25,0,0,transition,unknown,137.79,,117.45,,2.28,,1,1,0,0,0,0,0,0,0,,
16,0.267,0,0,transition,unknown,141.48,,121.59,,2.35,,1,1,0,0,0,0,0,0,0,,
17,0.284,0,0,transition,unknown,143.11,,125.47,,1.75,,1,1,0,0,0,0,0,0,0,,
18,0.3,0,0,transition,unknown,144.76,,129.03,,1.91,,1,1,0,0,0,0,0,0,0,,
19,0.317,0,0,transition,unknown,147.13,,132.48,,1.72,,1,1,0,0,0,0,0,0,0,,
20,0.334,0,0,transition,unknown,149.52,,135.51,,1.26,,1,1,0,0,0,0,0,0,0,,
21,0.35,0,0,transition,unknown,151.19,,138.37,,1.32,,1,1,0,0,0,0,0,0,0,,
22,0.367,0,0,transition,unknown,153.0,,141.02,,1.83,,1,1,0,0,0,0,0,0,0,,
23,0.384,0,0,transition,unknown,152.29,,143.21,,2.54,,1,1,0,0,0,0,0,0,0,,
24,0.4,0,0,transition,unknown,152.45,,145.12,,2.82,,1,1,0,0,0,0,0,0,0,,
25,0.417,0,0,transition,unknown,154.34,,146.84,,2.73,,1,1,0,0,0,0,0,0,0,,
26,0.434,0,0,transition,unknown,155.87,,148.58,,2.11,,1,1,0,0,0,0,0,0,0,,
27,0.45,0,0,transition,unknown,156.03,,150.1,,2.56,,1,1,0,0,0,0,0,0,0,,
28,0.467,0,0,transition,unknown,155.64,,151.28,,3.36,,1,1,0,0,0,0,0,0,0,,
29,0.484,0,0,transition,unknown,157.53,,152.48,,3.12,,1,1,0,0,0,0,0,0,0,,
30,0.501,0,0,transition,unknown,159.33,,153.69,,2.92,,1,1,0,0,0,0,0,0,0,,
31,0.517,0,0,transition,unknown,159.95,,154.76,,2.68,,1,1,0,0,0,0,0,0,0,,
32,0.534,0,0,transition,unknown,159.79,,155.62,,2.68,,1,1,0,0,0,0,0,0,0,,
33,0.551,0,0,transition,unknown,161.02,,156.44,,2.91,,1,1,0,0,0,0,0,0,0,,
34,0.567,0,0,transition,unknown,162.47,,157.23,,2.51,,1,1,0,0,0,0,0,0,0,,
35,0.584,0,0,down,unknown,163.86,,,,2.3,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
36,0.601,0,0,down,unknown,164.79,,164.79,,1.84,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
37,0.617,0,0,down,unknown,165.46,,165.12,,2.46,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
38,0.634,0,0,down,unknown,166.16,,165.47,,2.2,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
39,0.651,0,0,down,unknown,167.46,,165.96,,1.74,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
40,0.667,0,0,down,unknown,168.03,,166.38,,1.74,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
41,0.684,0,0,down,unknown,167.63,,166.59,,1.81,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
42,0.701,0,0,down,unknown,166.98,,166.64,,2.25,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
43,0.717,0,0,down,unknown,167.48,,166.75,,1.79,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
44,0.734,0,0,down,unknown,167.0,,166.77,,1.79,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
45,0.751,0,0,down,unknown,166.33,,166.73,,2.11,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
46,0.767,0,0,down,unknown,166.44,,166.7,,2.1,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
47,0.784,0,0,down,unknown,165.12,,166.57,,2.39,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
48,0.801,0,0,down,unknown,163.55,,166.47,,3.35,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
49,0.817,0,0,down,unknown,162.09,,166.19,,3.53,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
50,0.834,0,0,down,unknown,161.21,,165.78,,4.18,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
51,0.851,0,0,down,unknown,159.78,,165.14,,4.67,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
52,0.868,0,0,down,unknown,160.14,,164.48,,3.85,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
53,0.884,0,0,down,unknown,159.29,,163.78,,4.24,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
54,0.901,0,0,down,unknown,158.22,,163.05,,4.02,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
55,0.918,0,0,transition,unknown,156.6,,162.15,,3.99,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
56,0.934,0,0,transition,unknown,155.82,,161.22,,3.61,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
57,0.951,0,0,transition,unknown,156.61,,160.41,,2.44,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
58,0.968,0,0,transition,unknown,154.61,,159.42,,2.96,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
59,0.984,0,0,transition,unknown,152.48,,158.37,,2.24,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
60,1.001,0,0,transition,unknown,151.35,,157.35,,1.85,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
61,1.018,0,0,transition,unknown,149.99,,156.34,,1.39,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
62,1.034,0,0,transition,unknown,149.01,,155.33,,1.32,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
63,1.051,0,0,transition,unknown,147.26,,154.28,,1.25,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
64,1.068,0,0,transition,unknown,144.3,,152.96,,1.26,,1,1,0,0,0,0,0,0,0,Did not reach UP position (arm angle must be < 50°),
