frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_torso_arm_angle_deg,right_torso_arm_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,163.2,,163.2,,16.56,,1,1,0,0,0,0,0,0,0,,
2,0.067,0,0,down,unknown,164.12,,163.66,,17.05,,1,1,0,0,0,0,0,0,0,,
3,0.1,0,0,down,unknown,163.34,,163.55,,17.12,,1,1,0,0,0,0,0,0,0,,
4,0.133,0,0,down,unknown,164.23,,163.72,,15.93,,1,1,0,0,0,0,0,0,0,,
5,0.167,0,0,down,unknown,162.07,,163.39,,16.27,,1,1,0,0,0,0,0,0,0,,
6,0.2,0,0,down,unknown,159.66,,162.77,,16.76,,1,1,0,0,0,0,0,0,0,,
7,0.234,0,0,transition,unknown,157.19,,161.97,,16.5,,1,1,0,0,0,0,0,0,0,,
8,0.267,0,0,transition,unknown,152.07,,160.74,,16.35,,1,1,0,0,0,0,0,0,0,,
9,0.3,0,0,transition,unknown,150.32,,159.58,,15.7,,1,1,0,0,0,0,0,0,0,,
10,0.334,0,0,transition,unknown,144.16,,158.04,,16.55,,1,1,0,0,0,0,0,0,0,,
11,0.367,0,0,transition,unknown,138.77,,156.29,,16.22,,1,1,0,0,0,0,0,0,0,,
12,0.4,0,0,transition,unknown,130.9,,154.17,,15.1,,1,1,0,0,0,0,0,0,0,,
13,0.434,0,0,transition,unknown,111.83,,149.89,,16.08,,1,1,0,0,0,0,0,0,0,,
14,0.467,0,0,transition,unknown,83.46,,143.17,,20.27,,1,1,0,0,0,0,0,0,0,,
15,0.501,0,0,transition,unknown,70.46,,135.43,,17.92,,1,1,0,0,0,0,0,0,0,,
16,0.534,0,0,transition,unknown,51.94,,126.07,,16.97,,1,1,0,0,0,0,0,0,0,,
17,0.567,0,0,transition,unknown,46.13,,116.41,,17.46,,1,1,0,0,0,0,0,0,0,,
18,0.601,0,0,transition,unknown,44.4,,106.8,,17.97,,1,1,0,0,0,0,0,0,0,,
19,0.634,0,0,up,unknown,33.27,,96.48,,15.69,,1,1,0,0,0,0,0,0,0,,
20,0.667,0,0,up,unknown,27.7,,86.11,,14.23,,1,1,0,0,0,0,0,0,0,,
21,0.701,0,0,up,unknown,24.57,,75.63,,14.21,,1,1,0,0,0,0,0,0,0,,
22,0.734,0,0,up,unknown,22.48,,65.49,,16.56,,1,1,0,0,0,0,0,0,0,,
23,0.767,0,0,up,unknown,17.24,,55.36,,16.15,,1,1,0,0,0,0,0,0,0,,
24,0.801,0,0,up,unknown,13.58,,45.59,,16.14,,1,1,0,0,0,0,0,0,0,,
25,0.834,0,0,up,unknown,10.78,,37.17,,13.54,,1,1,0,0,0,0,0,0,0,,
26,0.868,0,0,up,unknown,11.59,39.09,31.18,39.09,14.49,17.39,1,0,0,0,0,0,0,0,0,,
27,0.901,0,0,up,up,10.57,37.58,26.19,38.34,15.44,17.54,1,0,0,0,0,0,0,0,0,,
28,0.934,0,0,up,up,11.66,36.93,22.83,37.87,15.18,16.2,1,1,0,0,0,0,0,0,0,,
29,0.968,0,0,up,up,9.93,36.72,19.81,37.58,15.42,15.73,1,1,0,0,0,0,0,0,0,,
30,1.001,0,0,up,up,12.22,38.23,17.13,37.71,15.15,16.92,1,1,0,0,0,0,0,0,0,,
31,1.034,0,0,up,up,13.12,39.75,15.45,38.05,14.72,15.75,1,1,0,0,0,0,0,0,0,,
32,1.068,0,0,up,up,12.2,39.09,14.16,38.2,14.98,14.19,1,1,0,0,0,0,0,0,0,,
33,1.101,0,0,up,up,12.31,39.82,13.14,38.4,14.47,16.75,1,1,0,0,0,0,0,0,0,,
34,1.134,0,0,up,up,12.72,43.87,12.33,39.01,17.14,17.75,1,0,0,0,0,0,0,0,0,,
35,1.168,0,0,up,up,14.59,,12.1,39.01,15.65,,1,1,0,0,0,0,0,0,0,,
36,1.201,0,0,up,up,15.92,,12.3,39.01,13.99,,1,1,0,0,0,0,0,0,0,,
37,1.235,0,0,up,up,27.28,,13.68,39.01,14.94,,1,1,0,0,0,0,0,0,0,,
38,1.268,0,0,up,up,32.89,,15.45,39.01,11.64,,1,1,0,0,0,0,0,0,0,,
39,1.301,0,0,up,up,30.26,,17.09,39.01,13.02,,1,1,0,0,0,0,0,0,0,,
40,1.335,0,0,up,up,40.84,,19.52,39.01,13.6,,1,1,0,0,0,0,0,0,0,,
41,1.368,0,0,up,up,41.63,,22.16,39.01,17.12,,1,1,0,0,0,0,0,0,0,,
