frame,time_s,left_cycle_index,right_cycle_index,left_state,right_state,left_angle_raw_deg,right_angle_raw_deg,left_angle_smoothed_deg,right_angle_smoothed_deg,left_torso_arm_angle_deg,right_torso_arm_angle_deg,left_aligned,right_aligned,left_reps,right_reps,left_correct_reps,right_correct_reps,left_incorrect_reps,right_incorrect_reps,total_reps,left_last_rep_reasons,right_last_rep_reasons
1,0.033,0,0,unknown,unknown,,152.64,,152.64,,5.96,1,0,0,0,0,0,0,0,0,,
2,0.065,0,0,unknown,transition,,151.5,,152.07,,5.95,1,1,0,0,0,0,0,0,0,,
3,0.098,0,0,unknown,transition,,146.48,,150.21,,7.45,1,1,0,0,0,0,0,0,0,,
4,0.131,0,0,unknown,transition,,140.9,,147.88,,9.06,1,1,0,0,0,0,0,0,0,,
5,0.164,0,0,unknown,transition,,134.63,,145.23,,9.82,1,1,0,0,0,0,0,0,0,,
6,0.196,0,0,unknown,transition,,127.64,,142.3,,9.87,1,1,0,0,0,0,0,0,0,,
7,0.229,0,0,unknown,transition,,121.13,,139.28,,11.13,1,1,0,0,0,0,0,0,0,,
8,0.262,0,0,unknown,transition,,116.01,,136.37,,11.69,1,1,0,0,0,0,0,0,0,,
9,0.294,0,0,unknown,transition,,108.74,,133.3,,12.76,1,1,0,0,0,0,0,0,0,,
10,0.327,0,0,unknown,transition,,103.0,,130.27,,12.3,1,1,0,0,0,0,0,0,0,,
11,0.36,0,0,unknown,transition,,95.59,,127.12,,11.76,1,1,0,0,0,0,0,0,0,,
12,0.393,0,0,unknown,transition,,88.71,,123.92,,11.69,1,1,0,0,0,0,0,0,0,,
13,0.425,0,0,unknown,transition,,82.76,,118.09,,10.45,1,1,0,0,0,0,0,0,0,,
14,0.458,0,0,unknown,transition,,78.74,,112.03,,10.57,1,1,0,0,0,0,0,0,0,,
15,0.491,0,0,unknown,transition,,73.68,,105.96,,10.39,1,1,0,0,0,0,0,0,0,,
16,0.523,0,0,unknown,transition,,68.66,,99.94,,12.1,1,1,0,0,0,0,0,0,0,,
17,0.556,0,0,unknown,transition,,65.34,,94.17,,11.82,1,1,0,0,0,0,0,0,0,,
18,0.589,0,0,unknown,transition,,62.28,,88.72,,11.69,1,1,0,0,0,0,0,0,0,,
19,0.622,0,0,unknown,transition,,60.0,,83.63,,12.87,1,1,0,0,0,0,0,0,0,,
20,0.654,0,0,unknown,transition,,57.62,,78.76,,14.5,1,1,0,0,0,0,0,0,0,,
21,0.687,0,0,unknown,transition,,55.15,,74.29,,14.39,1,1,0,0,0,0,0,0,0,,
22,0.72,0,0,unknown,transition,,54.46,,70.25,,14.22,1,1,0,0,0,0,0,0,0,,
23,0.752,0,0,unknown,transition,,53.65,,66.75,,15.04,1,1,0,0,0,0,0,0,0,,
24,0.785,0,0,unknown,transition,,54.2,,63.88,,14.71,1,1,0,0,0,0,0,0,0,,
25,0.818,0,0,unknown,transition,,54.63,,61.53,,14.57,1,1,0,0,0,0,0,0,0,,
26,0.85,0,0,unknown,transition,,56.35,,59.67,,14.98,1,1,0,0,0,0,0,0,0,,
27,0.883,0,0,unknown,transition,,55.9,,58.19,,15.32,1,1,0,0,0,0,0,0,0,,
28,0.916,0,0,unknown,transition,,57.81,,57.28,,15.51,1,1,0,0,0,0,0,0,0,,
29,0.949,0,0,unknown,transition,,58.27,,56.69,,15.87,1,1,0,0,0,0,0,0,0,,
30,0.981,0,0,unknown,transition,,60.91,,56.58,,15.58,1,1,0,0,0,0,0,0,0,,
31,1.014,0,0,unknown,transition,,62.24,,56.77,,15.65,1,1,0,0,0,0,0,0,0,,
32,1.047,0,0,unknown,transition,,63.27,,57.24,,15.72,1,1,0,0,0,0,0,0,0,,
33,1.079,0,0,unknown,transition,,65.94,,58.13,,15.9,1,1,0,0,0,0,0,0,0,,
34,1.112,0,0,unknown,transition,,68.34,,59.29,,15.63,1,1,0,0,0,0,0,0,0,,
35,1.145,0,0,unknown,transition,,71.46,,60.78,,15.22,1,1,0,0,0,0,0,0,0,,
36,1.178,0,0,unknown,transition,,72.67,,62.31,,15.45,1,1,0,0,0,0,0,0,0,,
37,1.21,0,0,unknown,transition,,77.64,,64.23,,15.24,1,1,0,0,0,0,0,0,0,,
38,1.243,0,0,unknown,transition,,80.71,,66.26,,15.22,1,1,0,0,0,0,0,0,0,,
39,1.276,0,0,unknown,transition,,87.94,,68.93,,15.46,1,1,0,0,0,0,0,0,0,,
40,1.308,0,0,unknown,transition,,92.09,,71.79,,14.47,1,1,0,0,0,0,0,0,0,,
41,1.341,0,0,unknown,transition,,95.38,,74.88,,14.18,1,1,0,0,0,0,0,0,0,,
42,1.374,0,0,unknown,transition,,99.97,,78.14,,14.58,1,1,0,0,0,0,0,0,0,,
43,1.407,0,0,unknown,transition,,103.83,,81.6,,13.97,1,1,0,0,0,0,0,0,0,,
44,1.439,0,0,unknown,transition,,108.51,,85.37,,13.61,1,1,0,0,0,0,0,0,0,,
45,1.472,0,0,unknown,transition,,111.16,,89.14,,13.36,1,1,0,0,0,0,0,0,0,,
46,1.505,0,0,unknown,transition,,114.56,,92.99,,12.85,1,1,0,0,0,0,0,0,0,,
47,1.537,0,0,unknown,transition,,118.83,,96.94,,11.81,1,1,0,0,0,0,0,0,0,,
48,1.57,0,0,unknown,transition,,122.83,,101.12,,11.85,1,1,0,0,0,0,0,0,0,,
49,1.603,0,0,unknown,transition,,125.63,,105.12,,13.91,1,1,0,0,0,0,0,0,0,,
50,1.636,0,0,unknown,transition,,129.09,,109.15,,12.75,1,1,0,0,0,0,0,0,0,,
51,1.668,0,0,unknown,transition,,132.47,,112.86,,12.23,1,1,0,0,0,0,0,0,0,,
52,1.701,0,0,unknown,transition,,134.74,,116.42,,10.7,1,1,0,0,0,0,0,0,0,,
53,1.734,0,0,unknown,transition,,137.44,,119.92,,11.2,1,1,0,0,0,0,0,0,0,,
