video,shoulder_width_px_med,torso_height_px_med,width_to_height_med,left_arm_verticality_deg_med,right_arm_verticality_deg_med,left_forearm_upperarm_ratio_med,right_forearm_upperarm_ratio_med
(1).MOV,47.0,332.5,0.14135338345864662,174.50196857805744,168.21696152459936,0.8886633762634673,0.7153161346457744
(1).mp4,214.0,331.5,0.6455505279034691,169.46081627137175,168.2065703150895,0.8379469985707885,0.8337545365082634
(2).mp4,156.0,345.0,0.45217391304347826,167.45740601195286,174.77158784633508,0.7586248677025158,0.7198775524261831
(4).mp4,23.0,427.5,0.05380116959064327,174.54456776597232,174.06638455182548,0.8010846015367565,0.7113536627450021
(8).mp4,165.0,238.0,0.6932773109243697,159.56717132060135,165.62999848482067,0.8320502943378436,0.9333131007402464
