arm,rep_start_time,rep_end_time,video_id,athlete_id,rom_deg_z,rom_deficit,torso_violation_pct_logit_z,align_off_pct_logit_z,tempo_asymmetry_logit_z,tempo_up_s_log1p_z,tempo_down_s_log1p_z,roughness_log1p_z,shoulder_drift_norm_log1p_z,lost_pose_any,tempo_total_log1p_z,speed_up_log1p_z,speed_down_log1p_z,fps_ok
left,0.067,8.655,1,1,38.8737099378018,0.0,0.05013192612137203,0.45778364116094983,0.0,0.0,0.0,0.0,0.0,0.0,8.588,0.0,0.0,1.0
right,0.067,5.005,1,1,45.10831062014456,0.0,0.0,0.19463087248322153,0.0,0.0,0.0,0.0,0.0,0.0,4.938,0.0,0.0,1.0
